,Tag,Count
0,happy,3332
1,dark,2803
2,energetic,2304
3,relaxing,2231
4,epic,2206
5,melodic,2062
6,love,2024
7,film,1978
8,space,1833
9,corporate,1833
10,background,1721
11,positive,1514
12,documentary,1492
13,inspiring,1491
14,uplifting,1484
15,emotional,1465
16,meditative,1420
17,sad,1419
18,romantic,1394
19,advertising,1390
20,commercial,1374
21,dream,1373
22,emotion,1170
23,christmas,1133
24,motivational,1120
25,adventure,1091
26,fun,1036
27,deep,1032
28,action,1030
29,calm,1023
30,upbeat,999
31,soft,975
32,soundscape,960
33,party,941
34,dramatic,897
35,drama,851
36,movie,845
37,filmmusic,797
38,ambiental,793
39,summer,792
40,nature,739
41,children,736
42,dreamy,736
43,slow,734
44,game,708
45,playful,696
46,comedy,695
47,inspirational,695
48,powerful,692
49,ballad,668
50,trailer,645
51,travel,622
52,cool,605
53,sport,588
54,videogame,564
55,filmscore,548
56,entertainment,548
57,scifi,514
58,future,491
59,funny,464
60,optimistic,464
61,beautiful,458
62,heavy,449
63,horror,446
64,fashion,433
65,retro,430
66,melancholic,421
67,groovy,421
68,mellow,419
69,sentimental,401
70,energic,397
71,energy,391
72,light,387
73,abstract,382
74,relaxingmusic,373
75,holiday,369
76,motivation,354
77,melancholy,353
78,brazil,344
79,business,342
80,sexy,340
81,strange,336
82,hopeful,334
83,society,332
84,peaceful,324
85,bright,321
86,fantasy,320
87,folkrock,318
88,youtube,316
89,humor,314
90,jingle,303
91,sweet,302
92,presentation,299
93,relaxed,296
94,mysterious,294
95,video,290
96,communication,286
97,culture,286
98,north,285
99,nostalgic,285
100,poetry,283
101,urban,281
102,weird,280
103,joyful,275
104,night,265
105,driving,260
106,cheerful,259
107,tv,255
108,spiritual,255
109,oldschool,255
110,fast,253
111,technology,253
112,dancefloor,252
113,kids,248
114,heroic,248
115,sports,247
116,quiet,242
117,suspense,238
118,dynamic,237
119,chilled,233
120,thoughtful,231
121,scary,230
122,war,223
123,reflective,222
124,mexico,221
125,winter,221
126,cinema,220
127,zen,220
128,festive,218
129,halloween,217
130,catchy,216
131,animation,215
132,life,213
133,drive,211
134,hope,211
135,sadness,210
136,aggressive,207
137,france,200
138,motivate,199
139,magic,196
140,computers,196
141,happiness,194
142,mystery,194
143,dancing,189
144,lovesong,186
145,success,183
146,western,180
147,sex,180
148,romance,179
149,crazy,178
150,melancolic,177
151,sea,177
152,angry,176
153,soulful,174
154,extreme,171
155,cosmic,170
156,tension,166
157,history,165
158,health,161
159,warm,161
160,strong,160
161,news,157
162,bouncy,157
163,thriller,153
164,trailermusic,151
165,battle,150
166,beach,150
167,hypnotic,149
168,crime,147
169,japan,146
170,tech,143
171,robot,142
172,nice,142
173,wedding,141
174,traditional,137
175,trippy,136
176,darkness,132
177,religious,131
178,water,128
179,relaxation,127
180,yoga,127
181,ocean,127
182,tropical,124
183,lullaby,122
184,surf,122
185,joy,121
186,indian,121
187,science,119
188,child,118
189,ethereal,114
190,tribe,113
191,vintage,113
192,berlin,112
193,contemplative,108
194,xmas,108
195,arabic,103
196,clubbing,101
197,sciencefiction,97
198,loud,96
199,india,96
200,pensive,95
201,rain,95
202,political,93
203,spacey,92
204,social,92
205,laidback,89
206,dirty,88
207,freedom,87
208,planant,84
209,lovemusic,82
210,irish,81
211,epicmusic,80
212,creative,79
213,spy,78
214,eclectic,78
215,cold,73
216,russia,72
217,gloomy,62
218,celebration,61
219,africa,61
220,psycho,61
221,silly,59
222,silentfilm,56
223,festif,54
224,anxious,50
225,determined,48
226,conscient,47
227,poesia,45
228,violence,38
229,high,37
230,education,35
231,adult,32
232,workout,26
233,sensible,24
234,chaos,24
235,colombia,24
236,loved,20
237,silence,20
238,sleepy,18
239,excited,17
240,lazy,17
241,drunk,16
242,argentina,15
243,depressed,14
244,curious,13
245,amor,12
246,nervous,10
247,stressed,6
248,accomplished,5
249,disappointed,4
250,busy,4
251,confused,4
252,productive,4
253,thankful,3
254,content,3
255,artistic,3
256,nordic,3
257,easter,3
258,discontent,3
259,impressed,2
260,awake,2
261,procession,2
262,frustrated,2
263,annoyed,1
264,flirty,1
265,guilty,1
266,cranky,1
