,tag,count
0,electronic,44263
1,pop,18287
2,soundtrack,18001
3,ambient,17890
4,rock,16558
5,experimental,15457
6,alternative,13085
7,classical,12577
8,easylistening,9698
9,dance,7827
10,chillout,7093
11,hiphop,6472
12,techno,6287
13,orchestral,5746
14,indie,5549
15,house,5520
16,jazz,5072
17,newage,4773
18,folk,4745
19,lounge,4728
20,poprock,4513
21,trance,4367
22,world,3887
23,metal,3747
24,atmospheric,3662
25,rap,3247
26,popfolk,3116
27,instrumentalpop,3054
28,funk,2660
29,electropop,2516
30,progressive,2473
31,triphop,2460
32,blues,2440
33,downtempo,2405
34,industrial,2389
35,psychedelic,2213
36,minimal,1947
37,reggae,1917
38,punk,1800
39,symphonic,1757
40,instrumentalrock,1645
41,club,1597
42,singersongwriter,1540
43,synthpop,1497
44,dubstep,1453
45,darkambient,1434
46,80s,1367
47,drumnbass,1331
48,improvisation,1266
49,latin,1259
50,fusion,1244
51,country,1223
52,rnb,1179
53,prog,1143
54,noise,1121
55,lofi,1099
56,hardrock,1092
57,eletronica,1080
58,dub,1075
59,darkwave,1072
60,deephouse,1067
61,idm,1020
62,breakbeat,1006
63,disco,981
64,avantgarde,961
65,ethno,938
66,gothic,909
67,soul,874
68,chanson,872
69,postrock,853
70,90s,828
71,soundtracks,755
72,contemporary,744
73,grunge,741
74,hardcore,716
75,eurodance,677
76,newwave,651
77,acidjazz,639
78,dancehall,622
79,acidhouse,616
80,technoindustrial,610
81,edm,606
82,classicrock,587
83,punkrock,579
84,alternativerock,563
85,electronical,561
86,rocknroll,556
87,electronicmusic,532
88,8bit,527
89,chansonfrancaise,525
90,progressiverock,497
91,groove,496
92,heavymetal,487
93,celtic,482
94,bebop,469
95,electronik,461
96,ska,458
97,70s,451
98,drone,451
99,acid,447
100,glitch,447
101,hard,446
102,60s,437
103,jazzfusion,421
104,psytrance,420
105,swing,414
106,jazzfunk,408
107,score,398
108,minimalism,395
109,choir,378
110,tribal,374
111,ethnicrock,370
112,oriental,344
113,minimaltechno,338
114,powerpop,337
115,medieval,332
116,rockfrancais,321
117,rave,315
118,deathmetal,305
119,jungle,304
120,garage,302
121,worldfusion,295
122,bossanova,285
123,bluesrock,283
124,electrorock,277
125,gangstarap,275
126,ebm,272
127,chiptune,269
128,hardstyle,269
129,techhouse,268
130,computermusic,267
131,dancepop,266
132,housemusic,258
133,african,257
134,electrohouse,257
135,asian,250
136,flamenco,247
137,death,238
138,rockpop,234
139,trap,232
140,houseelectro,232
141,ambiant,230
142,baroque,216
143,thrashmetal,214
144,elektro,213
145,neoclassical,210
146,gospel,207
147,ambiente,207
148,rockandroll,201
149,chilloutlounge,201
150,reggaeton,198
151,ambientmusic,195
152,rhythmandblues,195
153,christian,190
154,trip,188
155,choral,185
156,waltz,185
157,popelectro,180
158,jazzrock,178
159,electrojazz,161
160,ragga,161
161,freejazz,160
162,metalcore,156
163,technopop,155
164,electronika,154
165,cabaret,154
166,postpunk,151
167,instrumentalhiphop,150
168,loungemusic,149
169,indiepop,148
170,artrock,147
171,trancemusic,145
172,latino,145
173,technohouse,143
174,folkpop,142
175,darkelectro,140
176,breakcore,139
177,soundscapes,137
178,dubelectro,136
179,blackmetal,134
180,popfunk,133
181,electroambient,127
182,americana,125
183,souljazz,120
184,indietronica,119
185,nujazz,118
186,krautrock,117
187,acidrock,116
188,dancemusic,115
189,rockalternatif,114
190,guitarrock,113
191,classicalmusic,111
192,progressivehouse,111
193,hardtrance,109
194,samba,108
195,experimentalrock,106
196,hardtek,106
197,downbeat,103
198,tango,99
199,middleeastern,99
200,stoner,98
201,trancetechno,97
202,gipsy,96
203,electrodance,95
204,smoothjazz,94
205,southernrock,93
206,synthwave,93
207,dancehouse,92
208,shoegaze,90
209,goth,89
210,emo,84
211,march,84
212,countryrock,83
213,powermetal,83
214,progressivemetal,82
215,britpop,80
216,worldmusik,79
217,doom,78
218,spacerock,77
219,opera,75
220,island,75
221,trancemelodique,74
222,dreampop,73
223,raps,70
224,electronicambient,69
225,hiphopinstrumental,69
226,electropunk,68
227,rapcore,65
228,indierock,64
229,salsa,64
230,variete,64
231,rapfrancais,62
232,tecno,62
233,glam,62
234,rocksteady,55
235,guitarras,54
236,acousticrock,54
237,jrock,49
238,droneambient,46
239,tekno,44
240,christianrap,43
241,numetal,41
242,gangsta,41
243,indierockpop,38
244,deutschrock,38
245,grindcore,36
246,poppunk,32
247,emocore,28
248,ragtime,26
249,chansonatexte,25
250,abstracthiphop,24
251,manouche,22
252,cocktailjazz,2
253,afrocubanjazz,1
