,tag,count,valence,arousal,quadrant
0,happy,3332,0.87,0.26,1
1,dark,2803,0.02,-0.23,4
2,energetic,2304,0.64,0.27,1
3,relaxing,2231,0.80,-0.18,4
4,epic,2206,0.55,-0.05,4
5,love,2024,0.75,0.09,1
6,film,1978,0.33,-0.23,4
7,space,1833,0.47,-0.35,4
8,corporate,1833,-0.02,-0.06,3
9,background,1721,0.01,-0.33,4
10,positive,1514,0.64,0.12,1
11,documentary,1492,0.23,-0.31,4
12,uplifting,1484,0.49,-0.07,4
13,emotional,1465,0.03,0.08,1
14,sad,1419,-0.72,-0.38,3
15,romantic,1394,0.65,0.03,1
16,advertising,1390,-0.08,-0.44,3
17,commercial,1374,-0.22,-0.14,3
18,dream,1373,0.61,-0.16,4
19,emotion,1170,0.41,-0.06,4
20,christmas,1133,0.84,0.23,1
21,motivational,1120,0.44,0.34,1
22,adventure,1091,0.60,0.34,1
23,fun,1036,0.84,0.33,1
24,deep,1032,0.11,-0.28,4
25,action,1030,0.25,0.30,1
26,calm,1023,0.47,-0.83,4
27,upbeat,999,0.53,-0.02,4
28,soft,975,0.53,-0.49,4
29,party,941,0.54,0.27,1
30,dramatic,897,0.04,0.40,1
31,drama,851,-0.16,0.03,2
32,movie,845,0.56,-0.15,4
33,summer,792,0.62,0.12,1
34,nature,739,0.47,-0.25,4
35,children,736,0.34,0.02,1
36,dreamy,736,0.63,-0.02,4
37,slow,734,-0.25,-0.53,3
38,game,708,0.45,0.01,1
39,playful,696,0.66,0.22,1
40,comedy,695,0.76,0.25,1
41,inspirational,695,0.49,-0.25,4
42,powerful,692,0.36,0.10,1
43,ballad,668,0.33,-0.35,4
44,trailer,645,-0.14,-0.54,3
45,travel,622,0.72,0.14,1
46,cool,605,0.46,-0.39,4
47,sport,588,0.49,-0.07,4
48,entertainment,548,0.65,0.35,1
49,future,491,0.42,0.08,1
50,funny,464,0.65,0.09,1
51,optimistic,464,0.61,-0.20,4
52,beautiful,458,0.65,0.18,1
53,heavy,449,-0.05,-0.34,3
54,horror,446,-0.41,0.28,2
55,fashion,433,0.06,0.06,1
56,retro,430,0.15,-0.25,4
57,groovy,421,0.35,-0.08,4
58,mellow,419,0.42,-0.55,4
59,sentimental,401,0.32,-0.51,4
60,energy,391,0.48,0.31,1
61,light,387,0.39,-0.37,4
62,abstract,382,0.06,-0.26,4
63,holiday,369,0.54,-0.02,4
64,motivation,354,0.31,-0.07,4
65,melancholy,353,-0.31,-0.22,3
66,business,342,0.12,-0.32,4
67,sexy,340,0.60,0.45,1
68,strange,336,-0.07,-0.38,3
69,hopeful,334,0.61,-0.04,4
70,society,332,0.06,-0.11,4
71,peaceful,324,0.75,-0.16,4
72,bright,321,0.46,0.00,4
73,fantasy,320,0.54,0.29,1
74,humor,314,0.69,0.03,1
75,jingle,303,0.04,-0.17,4
76,sweet,302,0.69,-0.22,4
77,presentation,299,-0.02,-0.09,3
78,relaxed,296,0.56,-0.63,4
79,mysterious,294,0.26,0.11,1
80,video,290,0.41,-0.05,4
81,communication,286,0.43,-0.21,4
82,culture,286,0.32,-0.24,4
83,north,285,0.18,-0.71,4
84,nostalgic,285,0.42,-0.16,4
85,poetry,283,0.29,-0.35,4
