,tag,count
0,electronic,1532
1,rock,1019
2,pop,994
3,ambient,874
4,soundtrack,638
5,alternative,637
6,experimental,601
7,easylistening,586
8,classical,571
9,dance,465
10,chillout,441
11,jazz,403
12,poprock,360
13,indie,356
14,folk,351
15,world,351
16,techno,345
17,hiphop,336
18,lounge,328
19,house,325
20,funk,320
21,orchestral,302
22,popfolk,285
23,atmospheric,279
24,trance,265
25,newage,262
26,instrumentalpop,261
27,blues,253
28,metal,232
29,progressive,224
30,triphop,220
31,electropop,210
32,reggae,206
33,downtempo,189
34,minimal,176
35,rap,170
36,psychedelic,160
37,instrumentalrock,151
38,rnb,146
39,industrial,144
40,dubstep,141
41,latin,141
42,drumnbass,141
43,ethno,139
44,fusion,135
45,club,133
46,symphonic,132
47,punk,128
48,country,127
49,disco,123
50,singersongwriter,123
51,eletronica,122
52,darkambient,119
53,synthpop,118
54,breakbeat,118
55,soul,115
56,dub,112
57,hardrock,109
58,80s,96
59,contemporary,92
60,eurodance,88
61,improvisation,83
62,rocknroll,82
63,grunge,81
64,groove,80
65,postrock,79
66,soundtracks,77
67,90s,75
68,deephouse,74
69,celtic,74
70,electronical,73
71,jazzfunk,73
72,idm,71
73,bossanova,70
74,alternativerock,67
75,darkwave,67
76,70s,66
77,classicrock,66
78,swing,66
79,punkrock,64
80,electronik,64
81,acidjazz,64
82,newwave,64
83,oriental,62
84,hard,60
85,ethnicrock,59
86,chanson,59
87,choir,57
88,jazzfusion,57
89,60s,57
90,ska,54
91,edm,54
92,gothic,54
93,worldfusion,53
94,electronicmusic,52
95,bluesrock,52
96,tribal,52
97,heavymetal,52
98,medieval,52
99,african,50
100,electrorock,49
101,rockpop,49
102,hardcore,48
103,lofi,48
104,dancepop,47
105,glitch,46
106,waltz,46
107,noise,44
108,flamenco,44
109,powerpop,44
110,chilloutlounge,40
111,acid,40
112,technoindustrial,40
113,minimaltechno,40
114,acidhouse,39
115,progressiverock,39
116,avantgarde,39
117,garage,39
118,rockandroll,38
119,psytrance,38
120,dancehall,38
121,chansonfrancaise,37
122,techhouse,36
123,jungle,36
124,ambiente,34
125,elektro,32
126,drone,31
127,electrohouse,31
128,indiepop,30
129,latino,30
130,8bit,30
131,popfunk,30
132,choral,29
133,gangstarap,29
134,ambiant,29
135,asian,29
136,tango,29
137,trap,28
138,samba,27
139,trip,27
140,score,27
141,gospel,27
142,popelectro,26
143,jazzrock,26
144,houseelectro,26
145,souljazz,26
146,gipsy,26
147,ebm,25
148,rhythmandblues,25
149,dancemusic,25
150,folkpop,24
151,middleeastern,24
152,freejazz,23
153,electrodance,23
154,ragga,23
155,reggaeton,22
156,loungemusic,22
157,progressivehouse,22
158,neoclassical,22
159,thrashmetal,22
160,southernrock,21
161,acidrock,21
162,housemusic,21
163,rave,21
164,rockfrancais,21
165,chiptune,20
166,deathmetal,20
167,trancemusic,20
168,minimalism,20
169,baroque,20
170,electrojazz,20
171,technohouse,19
172,hardstyle,19
173,guitarrock,19
174,death,19
175,dubelectro,18
176,electroambient,18
177,smoothjazz,18
178,downbeat,18
179,americana,18
180,dancehouse,17
181,march,17
182,island,17
183,technopop,17
184,salsa,17
185,ambientmusic,17
186,powermetal,16
187,soundscapes,16
188,trancetechno,15
189,shoegaze,15
190,prog,15
191,electronicambient,15
192,classicalmusic,15
193,computermusic,15
194,electropunk,15
195,emo,15
196,indietronica,15
197,metalcore,15
198,electronika,14
199,artrock,14
200,rocksteady,14
201,postpunk,14
202,countryrock,13
203,acousticrock,13
204,christian,13
205,nujazz,13
206,instrumentalhiphop,13
207,opera,12
208,darkelectro,12
209,dreampop,12
210,ragtime,12
211,indierock,12
212,breakcore,11
213,cabaret,11
214,variete,11
215,worldmusik,10
216,gangsta,10
217,synthwave,10
218,raps,10
219,hardtrance,10
220,indierockpop,9
221,spacerock,9
222,hardtek,9
223,stoner,9
224,trancemelodique,9
225,krautrock,8
226,manouche,8
227,bebop,8
228,rapfrancais,8
229,tecno,8
230,jrock,8
231,rockalternatif,8
232,blackmetal,7
233,glam,7
234,britpop,7
235,progressivemetal,7
236,goth,7
237,experimentalrock,7
238,guitarras,6
239,numetal,6
240,poppunk,5
241,grindcore,5
242,abstracthiphop,5
243,doom,4
244,christianrap,4
245,emocore,4
246,hiphopinstrumental,3
247,rapcore,3
248,tekno,2
249,droneambient,2
250,chansonatexte,2
251,deutschrock,1
252,cocktailjazz,0
253,afrocubanjazz,0
