,tag,count
0,electronic,16528
1,soundtrack,8110
2,pop,8019
3,ambient,7549
4,rock,6971
5,classical,5693
6,easylistening,4971
7,experimental,3998
8,alternative,3777
9,chillout,3762
10,dance,2921
11,hiphop,2672
12,indie,2642
13,folk,2518
14,orchestral,2478
15,jazz,2388
16,lounge,2236
17,poprock,2229
18,newage,2212
19,techno,2195
20,house,2139
21,world,1898
22,popfolk,1789
23,trance,1537
24,instrumentalpop,1492
25,downtempo,1444
26,metal,1438
27,atmospheric,1407
28,triphop,1344
29,funk,1324
30,reggae,1249
31,blues,1092
32,progressive,1064
33,rap,990
34,electropop,954
35,singersongwriter,778
36,symphonic,717
37,latin,714
38,industrial,704
39,synthpop,651
40,minimal,650
41,instrumentalrock,622
42,punk,607
43,country,599
44,psychedelic,591
45,club,584
46,dubstep,552
47,darkambient,534
48,fusion,514
49,rnb,513
50,drumnbass,507
51,soul,505
52,hardrock,494
53,dub,449
54,disco,448
55,ethno,433
56,deephouse,428
57,dancehall,416
58,breakbeat,395
59,grunge,378
60,postrock,377
61,90s,363
62,improvisation,338
63,contemporary,327
64,80s,317
65,chanson,311
66,celtic,308
67,acidjazz,304
68,darkwave,293
69,avantgarde,291
70,noise,287
71,idm,287
72,rocknroll,281
73,edm,281
74,eletronica,279
75,ska,267
76,score,261
77,eurodance,250
78,lofi,246
79,soundtracks,231
80,classicrock,225
81,groove,223
82,punkrock,222
83,heavymetal,222
84,jazzfusion,221
85,technoindustrial,220
86,worldfusion,215
87,electronical,213
88,gothic,213
89,70s,203
90,progressiverock,201
91,drone,200
92,hardcore,197
93,jazzfunk,191
94,newwave,187
95,alternativerock,182
96,60s,179
97,tribal,178
98,hard,178
99,chansonfrancaise,173
100,choir,169
101,swing,169
102,powerpop,166
103,8bit,166
104,minimalism,161
105,electronicmusic,160
106,electronik,156
107,bossanova,149
108,baroque,146
109,glitch,144
110,ethnicrock,142
111,bluesrock,139
112,oriental,136
113,medieval,136
114,flamenco,136
115,psytrance,134
116,chiptune,128
117,garage,128
118,ambiant,123
119,african,122
120,chilloutlounge,122
121,instrumentalhiphop,120
122,dancepop,119
123,neoclassical,118
124,acid,117
125,thrashmetal,113
126,ragga,110
127,electrohouse,108
128,indiepop,107
129,electrorock,104
130,rockpop,102
131,folkpop,102
132,rockandroll,98
133,asian,98
134,jungle,98
135,hardstyle,94
136,rockfrancais,93
137,minimaltechno,92
138,houseelectro,92
139,ebm,92
140,acidhouse,90
141,ambiente,89
142,techhouse,88
143,jazzrock,87
144,waltz,86
145,choral,85
146,housemusic,84
147,deathmetal,82
148,americana,81
149,reggaeton,78
150,gangstarap,77
151,electroambient,76
152,artrock,74
153,popfunk,74
154,electrojazz,72
155,technopop,70
156,death,70
157,popelectro,67
158,gospel,66
159,christian,66
160,loungemusic,66
161,trap,64
162,rhythmandblues,63
163,indietronica,62
164,classicalmusic,61
165,latino,61
166,trancemelodique,61
167,middleeastern,59
168,southernrock,58
169,progressivehouse,56
170,rave,56
171,smoothjazz,55
172,trancemusic,55
173,powermetal,54
174,worldmusik,54
175,technohouse,52
176,souljazz,51
177,postpunk,51
178,trip,50
179,hiphopinstrumental,50
180,electronika,50
181,progressivemetal,49
182,ambientmusic,49
183,soundscapes,48
184,gipsy,48
185,dancemusic,47
186,nujazz,47
187,prog,46
188,metalcore,46
189,shoegaze,46
190,downbeat,44
191,elektro,44
192,samba,43
193,synthwave,41
194,cabaret,41
195,indierock,41
196,freejazz,41
197,acidrock,38
198,rapfrancais,38
199,guitarras,38
200,salsa,38
201,stoner,37
202,goth,36
203,electrodance,36
204,rocksteady,36
205,guitarrock,35
206,tango,35
207,rockalternatif,35
208,march,35
209,electronicambient,33
210,darkelectro,33
211,breakcore,33
212,dreampop,32
213,emo,32
214,island,31
215,dubelectro,30
216,electropunk,28
217,variete,28
218,hardtrance,28
219,opera,27
220,britpop,27
221,indierockpop,26
222,bebop,26
223,countryrock,25
224,spacerock,24
225,jrock,23
226,krautrock,23
227,dancehouse,22
228,blackmetal,22
229,acousticrock,21
230,computermusic,21
231,experimentalrock,20
232,trancetechno,20
233,ragtime,20
234,grindcore,20
235,raps,19
236,glam,19
237,numetal,18
238,gangsta,16
239,manouche,15
240,rapcore,12
241,hardtek,11
242,tekno,11
243,poppunk,11
244,tecno,10
245,chansonatexte,9
246,doom,8
247,abstracthiphop,7
248,emocore,5
249,christianrap,4
250,droneambient,3
251,deutschrock,1
252,cocktailjazz,0
253,afrocubanjazz,0
