,tag,count
0,piano,14570
1,synthesizer,11755
2,bass,10982
3,electricguitar,8947
4,guitar,8216
5,drum,7875
6,computer,5112
7,drums,3852
8,acousticguitar,3739
9,drummachine,3632
10,voice,3490
11,keyboard,2983
12,synth,2861
13,strings,2812
14,violin,2643
15,electricpiano,2586
16,sampler,2472
17,cello,1772
18,flute,1479
19,trumpet,1346
20,percussion,1277
21,classicalguitar,1223
22,saxophone,1143
23,orchestra,1069
24,synths,990
25,brass,970
26,beat,936
27,harp,835
28,electronicorgan,833
29,keyboards,826
30,pianosolo,783
31,rhodes,759
32,guitars,733
33,beats,710
34,doublebass,683
35,accordion,671
36,hammond,669
37,ukulele,668
38,pipeorgan,664
39,bell,662
40,acousticbassguitar,653
41,viola,629
42,trombone,607
43,guitare,598
44,clarinet,576
45,synthesizers,561
46,horn,511
47,oboe,435
48,organ,429
49,harmonica,377
50,synthetizer,376
51,guitares,358
52,violins,343
53,bongos,337
54,choirs,309
55,percussions,307
56,glockenspiel,306
57,cymbal,298
58,bassguitar,297
59,sax,295
60,marimba,291
61,timpani,286
62,xylophone,276
63,cvp509,275
64,woodwind,273
65,vibraphone,271
66,batterie,271
67,bells,263
68,synthé,263
69,bongo,256
70,panflute,248
71,pad,244
72,banjo,244
73,violons,238
74,tambourine,218
75,conga,215
76,slideguitar,212
77,sitar,210
78,celesta,208
79,horns,204
80,mandolin,202
81,harpsichord,195
82,pads,193
83,guitarra,189
84,electricguitars,179
85,keys,177
86,string,175
87,flutes,161
88,violon,154
89,tuba,151
90,synthetiseur,145
91,tabla,145
92,mellotron,139
93,vocoder,133
94,synthetiseurs,132
95,djembe,125
96,ewi,125
97,guitareelectrique,124
98,bassoon,123
99,pianoforte,120
100,basso,116
101,chitarra,113
102,tinwhistle,108
103,bajo,106
104,batteria,105
105,melodica,103
106,piccolo,96
107,teclados,95
108,accordeon,93
109,tubularbell,90
110,clavier,89
111,cajon,87
112,pianos,85
113,taiko,84
114,triangle,83
115,kaosspad,78
116,theremin,77
117,claviers,77
118,cimbalom,73
119,kalimba,71
120,jewsharp,70
121,musicalsaw,65
122,cabasa,62
123,didgeridoo,62
124,woodblock,62
125,bagpipes,61
126,lapsteelguitar,61
127,gobletdrum,61
128,koto,60
129,carillon,56
130,balalaika,52
131,fiddle,51
132,hang,51
133,steelpan,48
134,ney,48
135,bateria,47
136,clavichord,46
137,oud,45
138,flugelhorn,45
139,cowbell,42
140,castanets,41
141,metallophone,40
142,berimbau,35
143,harmonium,33
144,erhu,31
145,dunun,31
146,udu,31
147,tamtam,29
148,handbell,29
149,mbira,28
150,santur,27
151,bodhran,26
152,mandola,24
153,bombarde,22
154,mellophone,22
155,bandoneon,21
156,ocarina,21
157,kazoo,21
158,kora,19
159,gimbri,19
160,shamisen,18
161,balafon,17
162,charango,17
163,pandeiro,16
164,glassharmonica,16
165,tambura,16
166,tubax,13
167,washboard,13
168,lute,12
169,alphorn,11
170,shekere,10
171,singingbowl,10
172,sarrusophone,9
173,guiro,8
174,bandura,8
175,alboka,8
176,concertina,7
177,cittern,7
178,euphonium,7
179,continuum,6
180,sousaphone,6
181,sarangi,6
182,heckelphone,5
183,soprillo,5
184,surdo,3
185,cuica,3
186,chapmanstick,3
187,hautbois,3
188,kanun,2
189,lyre,1
190,dholak,1
191,turntable,1
