,tag,count
0,electronic,4044
1,pop,2149
2,soundtrack,2048
3,ambient,2045
4,rock,1891
5,classical,1493
6,easylistening,1423
7,experimental,1161
8,alternative,1117
9,chillout,969
10,dance,962
11,orchestral,795
12,jazz,748
13,poprock,721
14,lounge,679
15,house,677
16,techno,674
17,indie,673
18,folk,667
19,world,621
20,newage,600
21,hiphop,593
22,trance,555
23,funk,507
24,popfolk,505
25,atmospheric,489
26,instrumentalpop,417
27,blues,405
28,electropop,384
29,metal,382
30,triphop,376
31,progressive,365
32,downtempo,365
33,reggae,319
34,rap,258
35,minimal,255
36,psychedelic,253
37,symphonic,245
38,latin,238
39,dubstep,229
40,darkambient,221
41,instrumentalrock,218
42,drumnbass,217
43,synthpop,216
44,industrial,212
45,fusion,212
46,singersongwriter,212
47,rnb,201
48,club,199
49,country,195
50,disco,189
51,ethno,184
52,punk,182
53,soul,163
54,breakbeat,161
55,dub,159
56,eletronica,157
57,deephouse,146
58,hardrock,145
59,80s,135
60,eurodance,134
61,contemporary,127
62,grunge,121
63,acidjazz,116
64,edm,116
65,90s,116
66,rocknroll,115
67,postrock,112
68,improvisation,111
69,jazzfunk,107
70,groove,107
71,celtic,107
72,soundtracks,106
73,jazzfusion,106
74,idm,101
75,darkwave,101
76,70s,96
77,classicrock,96
78,newwave,90
79,choir,90
80,noise,89
81,60s,88
82,punkrock,86
83,electronical,86
84,avantgarde,85
85,swing,85
86,chanson,83
87,bossanova,82
88,worldfusion,80
89,alternativerock,79
90,ska,78
91,lofi,76
92,electronik,75
93,powerpop,74
94,technoindustrial,74
95,oriental,73
96,bluesrock,72
97,dancepop,72
98,heavymetal,71
99,progressiverock,70
100,flamenco,70
101,gothic,70
102,tribal,69
103,hard,69
104,hardcore,68
105,dancehall,67
106,ethnicrock,67
107,medieval,67
108,waltz,66
109,electronicmusic,63
110,african,63
111,rockpop,62
112,psytrance,61
113,acidhouse,61
114,glitch,59
115,electrorock,58
116,chansonfrancaise,56
117,chilloutlounge,55
118,drone,53
119,acid,53
120,ambiant,53
121,score,52
122,techhouse,49
123,garage,48
124,minimaltechno,48
125,rockandroll,47
126,indiepop,46
127,minimalism,46
128,8bit,46
129,ambiente,45
130,jungle,41
131,choral,41
132,electrohouse,40
133,houseelectro,38
134,neoclassical,37
135,latino,37
136,popfunk,36
137,technopop,36
138,folkpop,35
139,rockfrancais,35
140,gangstarap,35
141,asian,34
142,jazzrock,34
143,elektro,34
144,samba,34
145,baroque,33
146,trap,33
147,chiptune,33
148,souljazz,32
149,rhythmandblues,32
150,smoothjazz,31
151,housemusic,30
152,gospel,30
153,loungemusic,30
154,hardstyle,30
155,reggaeton,30
156,trip,30
157,freejazz,30
158,tango,30
159,electrodance,30
160,gipsy,29
161,ebm,28
162,southernrock,28
163,popelectro,28
164,electroambient,27
165,dancemusic,27
166,middleeastern,27
167,acidrock,26
168,ragga,26
169,electrojazz,26
170,thrashmetal,26
171,trancemusic,25
172,progressivehouse,25
173,ambientmusic,25
174,postpunk,23
175,rave,23
176,march,22
177,indietronica,22
178,deathmetal,22
179,americana,22
180,technohouse,22
181,salsa,22
182,death,21
183,classicalmusic,20
184,guitarrock,20
185,soundscapes,20
186,nujazz,20
187,downbeat,20
188,dubelectro,19
189,christian,19
190,island,18
191,shoegaze,18
192,emo,18
193,dancehouse,18
194,trancemelodique,18
195,powermetal,18
196,prog,18
197,instrumentalhiphop,18
198,trancetechno,17
199,rocksteady,17
200,countryrock,17
201,artrock,17
202,electronika,17
203,electropunk,16
204,computermusic,15
205,dreampop,15
206,metalcore,15
207,electronicambient,15
208,indierock,15
209,spacerock,14
210,acousticrock,14
211,opera,14
212,cabaret,14
213,rapfrancais,13
214,worldmusik,13
215,synthwave,13
216,breakcore,13
217,krautrock,12
218,jrock,12
219,variete,12
220,darkelectro,12
221,ragtime,12
222,raps,11
223,guitarras,11
224,glam,10
225,gangsta,10
226,bebop,10
227,hardtrance,10
228,experimentalrock,10
229,indierockpop,9
230,stoner,9
231,goth,9
232,progressivemetal,9
233,britpop,9
234,tecno,9
235,blackmetal,8
236,manouche,8
237,hardtek,8
238,rockalternatif,8
239,poppunk,7
240,abstracthiphop,7
241,numetal,7
242,hiphopinstrumental,6
243,doom,5
244,rapcore,5
245,grindcore,5
246,emocore,4
247,christianrap,4
248,chansonatexte,3
249,droneambient,2
250,tekno,2
251,deutschrock,1
252,cocktailjazz,0
253,afrocubanjazz,0
