,tag,count
0,electronic,7233
1,ambient,3524
2,pop,3278
3,rock,3110
4,soundtrack,3042
5,experimental,2916
6,classical,2489
7,alternative,2333
8,easylistening,1949
9,dance,1643
10,chillout,1404
11,techno,1335
12,jazz,1167
13,orchestral,1164
14,poprock,1113
15,house,1084
16,trance,1049
17,indie,999
18,folk,976
19,lounge,950
20,newage,933
21,hiphop,896
22,world,883
23,atmospheric,792
24,funk,774
25,metal,765
26,popfolk,720
27,blues,682
28,instrumentalpop,656
29,electropop,651
30,progressive,615
31,psychedelic,610
32,triphop,557
33,industrial,532
34,downtempo,512
35,minimal,485
36,reggae,485
37,darkambient,434
38,symphonic,425
39,rap,403
40,drumnbass,390
41,instrumentalrock,388
42,dubstep,380
43,synthpop,366
44,fusion,356
45,singersongwriter,346
46,disco,329
47,eletronica,326
48,punk,324
49,country,321
50,latin,316
51,club,306
52,rnb,302
53,dub,292
54,improvisation,281
55,noise,280
56,ethno,274
57,darkwave,269
58,breakbeat,265
59,80s,258
60,hardrock,240
61,eurodance,238
62,soul,226
63,deephouse,225
64,avantgarde,218
65,postrock,218
66,contemporary,217
67,idm,200
68,lofi,199
69,acidjazz,193
70,90s,189
71,grunge,188
72,electronical,185
73,newwave,183
74,classicrock,180
75,gothic,177
76,acidhouse,173
77,soundtracks,172
78,hardcore,169
79,jazzfunk,168
80,electronik,167
81,70s,165
82,groove,163
83,technoindustrial,163
84,edm,160
85,rocknroll,156
86,jazzfusion,152
87,electronicmusic,149
88,celtic,148
89,chanson,147
90,choir,146
91,60s,144
92,acid,140
93,alternativerock,138
94,progressiverock,138
95,tribal,134
96,psytrance,132
97,hard,125
98,punkrock,125
99,chansonfrancaise,124
100,swing,122
101,dancehall,120
102,ethnicrock,118
103,dancepop,117
104,drone,116
105,bossanova,115
106,heavymetal,113
107,medieval,111
108,bluesrock,108
109,powerpop,107
110,glitch,106
111,oriental,106
112,ska,105
113,waltz,101
114,worldfusion,101
115,electrorock,100
116,minimaltechno,97
117,african,97
118,rockpop,92
119,8bit,92
120,techhouse,90
121,ambiant,88
122,jungle,88
123,flamenco,83
124,minimalism,82
125,houseelectro,81
126,elektro,76
127,score,75
128,garage,74
129,choral,72
130,electrohouse,72
131,ebm,71
132,technopop,71
133,rockfrancais,71
134,rockandroll,70
135,ambiente,70
136,chilloutlounge,68
137,chiptune,67
138,rave,65
139,deathmetal,64
140,indiepop,64
141,housemusic,62
142,rhythmandblues,61
143,gospel,61
144,acidrock,60
145,death,59
146,trip,57
147,freejazz,57
148,jazzrock,56
149,technohouse,55
150,electronika,55
151,samba,54
152,asian,54
153,ambientmusic,53
154,neoclassical,53
155,popfunk,52
156,baroque,52
157,popelectro,51
158,hardstyle,51
159,computermusic,51
160,electroambient,50
161,trap,50
162,thrashmetal,49
163,loungemusic,48
164,latino,47
165,folkpop,47
166,electrojazz,47
167,electrodance,47
168,gangstarap,47
169,tecno,46
170,souljazz,46
171,trancemusic,44
172,trancetechno,44
173,dancemusic,44
174,darkelectro,43
175,tango,41
176,guitarrock,41
177,hardtek,40
178,dancehouse,40
179,breakcore,39
180,progressivehouse,38
181,southernrock,38
182,reggaeton,37
183,ragga,37
184,christian,37
185,artrock,37
186,classicalmusic,36
187,middleeastern,36
188,downbeat,36
189,gipsy,36
190,smoothjazz,36
191,march,36
192,postpunk,36
193,emo,35
194,doom,35
195,soundscapes,35
196,krautrock,34
197,metalcore,33
198,countryrock,32
199,electronicambient,32
200,spacerock,32
201,prog,32
202,americana,30
203,dubelectro,30
204,hardtrance,30
205,indietronica,29
206,experimentalrock,28
207,rockalternatif,28
208,acousticrock,27
209,nujazz,27
210,shoegaze,27
211,blackmetal,27
212,cabaret,27
213,variete,26
214,island,26
215,salsa,25
216,powermetal,25
217,electropunk,25
218,rocksteady,25
219,opera,24
220,trancemelodique,24
221,jrock,24
222,stoner,24
223,instrumentalhiphop,23
224,dreampop,22
225,indierock,21
226,synthwave,20
227,rapfrancais,20
228,raps,20
229,progressivemetal,19
230,glam,18
231,goth,18
232,worldmusik,17
233,deutschrock,16
234,droneambient,14
235,ragtime,14
236,poppunk,14
237,guitarras,14
238,indierockpop,13
239,grindcore,13
240,abstracthiphop,13
241,rapcore,12
242,britpop,12
243,chansonatexte,12
244,gangsta,12
245,bebop,11
246,numetal,11
247,hiphopinstrumental,10
248,manouche,9
249,christianrap,9
250,tekno,6
251,emocore,5
252,cocktailjazz,0
253,afrocubanjazz,0
