,tag,count
0,electronic,2274
1,rock,1499
2,pop,1396
3,ambient,1333
4,experimental,1089
5,alternative,1069
6,soundtrack,865
7,classical,817
8,easylistening,782
9,dance,710
10,chillout,592
11,techno,567
12,poprock,547
13,jazz,534
14,indie,508
15,hiphop,487
16,folk,486
17,world,478
18,house,473
19,funk,458
20,trance,438
21,atmospheric,420
22,orchestral,417
23,lounge,415
24,popfolk,411
25,metal,400
26,newage,382
27,blues,371
28,instrumentalpop,366
29,progressive,357
30,psychedelic,338
31,triphop,322
32,electropop,322
33,minimal,300
34,reggae,292
35,industrial,291
36,downtempo,266
37,instrumentalrock,259
38,rap,247
39,darkambient,230
40,drumnbass,221
41,fusion,219
42,eletronica,212
43,dubstep,204
44,rnb,202
45,punk,197
46,ethno,193
47,symphonic,193
48,synthpop,190
49,disco,187
50,club,182
51,country,180
52,latin,179
53,breakbeat,176
54,hardrock,174
55,dub,169
56,singersongwriter,168
57,80s,158
58,improvisation,151
59,soul,150
60,darkwave,149
61,noise,141
62,contemporary,139
63,newwave,131
64,postrock,131
65,eurodance,129
66,classicrock,128
67,electronical,124
68,idm,124
69,electronik,119
70,grunge,119
71,groove,119
72,soundtracks,110
73,90s,108
74,jazzfunk,107
75,hardcore,107
76,hard,104
77,rocknroll,104
78,celtic,104
79,ethnicrock,104
80,deephouse,103
81,acidjazz,103
82,gothic,102
83,70s,102
84,electronicmusic,98
85,chanson,98
86,technoindustrial,97
87,lofi,97
88,tribal,94
89,bossanova,94
90,alternativerock,94
91,choir,90
92,avantgarde,89
93,punkrock,85
94,acid,84
95,oriental,83
96,electrorock,82
97,swing,82
98,jazzfusion,79
99,heavymetal,78
100,glitch,78
101,60s,76
102,medieval,75
103,psytrance,75
104,ska,74
105,african,74
106,edm,73
107,jungle,72
108,worldfusion,70
109,rockpop,69
110,dancepop,67
111,progressiverock,67
112,acidhouse,66
113,bluesrock,66
114,waltz,65
115,minimaltechno,65
116,powerpop,63
117,drone,61
118,chansonfrancaise,60
119,dancehall,58
120,garage,57
121,8bit,56
122,flamenco,55
123,rockandroll,54
124,deathmetal,54
125,electrohouse,53
126,elektro,53
127,gospel,53
128,choral,53
129,techhouse,52
130,ambiente,51
131,death,50
132,chilloutlounge,49
133,ambiant,49
134,trip,48
135,ebm,47
136,houseelectro,46
137,acidrock,45
138,jazzrock,44
139,asian,44
140,popfunk,43
141,rave,43
142,popelectro,43
143,indiepop,43
144,freejazz,40
145,technohouse,40
146,latino,39
147,score,39
148,rhythmandblues,39
149,trap,38
150,gangstarap,38
151,thrashmetal,38
152,souljazz,37
153,minimalism,37
154,samba,36
155,tango,36
156,electronika,36
157,chiptune,36
158,technopop,35
159,electrojazz,34
160,rockfrancais,34
161,loungemusic,34
162,guitarrock,33
163,neoclassical,33
164,darkelectro,33
165,gipsy,33
166,dancemusic,33
167,folkpop,33
168,trancemusic,32
169,progressivehouse,32
170,electrodance,31
171,middleeastern,31
172,downbeat,31
173,electroambient,31
174,hardstyle,30
175,housemusic,30
176,breakcore,30
177,march,29
178,emo,29
179,trancetechno,29
180,hardtek,28
181,soundscapes,28
182,computermusic,28
183,metalcore,28
184,southernrock,28
185,ragga,28
186,prog,27
187,baroque,27
188,classicalmusic,27
189,reggaeton,27
190,dubelectro,26
191,dancehouse,25
192,electronicambient,25
193,ambientmusic,25
194,christian,24
195,island,24
196,spacerock,24
197,experimentalrock,24
198,postpunk,23
199,countryrock,23
200,tecno,22
201,smoothjazz,22
202,electropunk,22
203,americana,22
204,rocksteady,21
205,powermetal,21
206,acousticrock,21
207,indietronica,20
208,shoegaze,19
209,dreampop,19
210,salsa,19
211,cabaret,19
212,opera,19
213,nujazz,19
214,artrock,19
215,hardtrance,18
216,blackmetal,18
217,indierock,18
218,krautrock,18
219,doom,17
220,stoner,17
221,instrumentalhiphop,17
222,synthwave,17
223,jrock,16
224,variete,16
225,raps,15
226,goth,15
227,rockalternatif,15
228,progressivemetal,15
229,rapfrancais,15
230,worldmusik,14
231,trancemelodique,14
232,glam,13
233,ragtime,13
234,indierockpop,12
235,gangsta,12
236,grindcore,11
237,droneambient,10
238,numetal,10
239,poppunk,9
240,guitarras,9
241,manouche,9
242,deutschrock,9
243,bebop,9
244,rapcore,9
245,chansonatexte,9
246,abstracthiphop,8
247,britpop,8
248,christianrap,8
249,hiphopinstrumental,7
250,tekno,5
251,emocore,5
252,cocktailjazz,0
253,afrocubanjazz,0
