,tag,count
0,electronic,37441
1,ambient,14081
2,pop,13862
3,experimental,13654
4,rock,13472
5,soundtrack,13227
6,alternative,11547
7,classical,9872
8,easylistening,7994
9,dance,5892
10,chillout,5689
11,techno,5017
12,indie,4652
13,house,4546
14,hiphop,4431
15,jazz,4205
16,lounge,3913
17,folk,3820
18,newage,3795
19,orchestral,3613
20,poprock,3535
21,trance,3458
22,metal,3233
23,instrumentalpop,2975
24,world,2842
25,popfolk,2467
26,atmospheric,2372
27,industrial,2070
28,downtempo,2054
29,triphop,2053
30,blues,1997
31,funk,1991
32,progressive,1902
33,rap,1872
34,electropop,1781
35,psychedelic,1724
36,reggae,1593
37,minimal,1566
38,instrumentalrock,1529
39,punk,1428
40,singersongwriter,1225
41,symphonic,1195
42,synthpop,1176
43,club,1152
44,darkambient,1137
45,dubstep,1021
46,drumnbass,987
47,lofi,969
48,noise,928
49,latin,907
50,darkwave,907
51,improvisation,907
52,fusion,906
53,country,882
54,dub,872
55,rnb,852
56,idm,850
57,deephouse,832
58,gothic,783
59,avantgarde,766
60,disco,760
61,eletronica,750
62,postrock,733
63,hardrock,730
64,breakbeat,709
65,ethno,691
66,contemporary,683
67,80s,672
68,soul,639
69,grunge,637
70,chanson,633
71,90s,583
72,hardcore,583
73,eurodance,564
74,acidhouse,546
75,soundtracks,541
76,newwave,513
77,electronical,511
78,acidjazz,509
79,technoindustrial,505
80,8bit,488
81,dancehall,487
82,alternativerock,449
83,chansonfrancaise,448
84,punkrock,436
85,edm,430
86,electronicmusic,426
87,progressiverock,421
88,classicrock,405
89,celtic,401
90,acid,397
91,electronik,396
92,rocknroll,391
93,drone,389
94,ska,367
95,minimalism,363
96,heavymetal,360
97,70s,358
98,groove,352
99,hard,340
100,psytrance,335
101,score,333
102,jazzfusion,330
103,swing,327
104,glitch,322
105,tribal,318
106,ethnicrock,308
107,60s,305
108,rockfrancais,304
109,jazzfunk,292
110,worldfusion,280
111,choir,264
112,deathmetal,262
113,garage,257
114,hardstyle,253
115,techhouse,251
116,medieval,251
117,minimaltechno,250
118,bluesrock,241
119,housemusic,238
120,chiptune,237
121,powerpop,236
122,computermusic,234
123,rave,231
124,ebm,231
125,houseelectro,213
126,ambiant,211
127,baroque,209
128,dancepop,207
129,bossanova,205
130,electrorock,203
131,neoclassical,199
132,electrohouse,196
133,oriental,190
134,african,186
135,thrashmetal,184
136,rockpop,184
137,jungle,183
138,ambientmusic,181
139,chilloutlounge,179
140,death,176
141,popelectro,173
142,rockandroll,168
143,gangstarap,164
144,asian,161
145,waltz,152
146,christian,151
147,flamenco,151
148,jazzrock,151
149,technopop,147
150,postpunk,145
151,instrumentalhiphop,143
152,gospel,143
153,choral,142
154,elektro,142
155,artrock,141
156,electrojazz,136
157,trancemusic,135
158,indiepop,134
159,blackmetal,134
160,folkpop,133
161,trip,131
162,ragga,129
163,electronika,129
164,technohouse,129
165,dubelectro,128
166,ambiente,127
167,loungemusic,124
168,cabaret,119
169,americana,119
170,indietronica,117
171,krautrock,117
172,metalcore,116
173,rhythmandblues,115
174,popfunk,112
175,electroambient,110
176,nujazz,109
177,hardtrance,108
178,breakcore,106
179,soundscapes,105
180,classicalmusic,104
181,reggaeton,104
182,experimentalrock,101
183,rockalternatif,100
184,trap,98
185,trancetechno,95
186,downbeat,93
187,darkelectro,88
188,smoothjazz,88
189,shoegaze,87
190,goth,87
191,stoner,86
192,acidrock,83
193,latino,81
194,dancemusic,81
195,middleeastern,79
196,dancehouse,78
197,southernrock,77
198,progressivemetal,76
199,progressivehouse,75
200,worldmusik,74
201,doom,74
202,spacerock,74
203,electrodance,73
204,trancemelodique,73
205,prog,73
206,freejazz,73
207,emo,72
208,synthwave,71
209,hardtek,70
210,souljazz,70
211,guitarrock,68
212,powermetal,67
213,samba,67
214,tango,66
215,britpop,65
216,electronicambient,63
217,electropunk,60
218,dreampop,58
219,hiphopinstrumental,56
220,march,56
221,tecno,56
222,gipsy,55
223,indierock,53
224,guitarras,52
225,countryrock,49
226,variete,49
227,acousticrock,48
228,rapfrancais,48
229,raps,46
230,salsa,45
231,rocksteady,44
232,opera,43
233,droneambient,42
234,glam,41
235,island,40
236,deutschrock,38
237,jrock,38
238,rapcore,36
239,grindcore,32
240,indierockpop,31
241,numetal,30
242,poppunk,28
243,tekno,27
244,bebop,27
245,chansonatexte,24
246,christianrap,24
247,ragtime,21
248,gangsta,20
249,abstracthiphop,16
250,manouche,16
251,emocore,6
252,cocktailjazz,0
253,afrocubanjazz,0
