,tag,count
0,electronic,43511
1,pop,17445
2,soundtrack,17207
3,ambient,17162
4,rock,16205
5,experimental,15036
6,alternative,12915
7,classical,12457
8,easylistening,9507
9,dance,7647
10,chillout,6983
11,hiphop,6400
12,techno,6246
13,orchestral,5691
14,indie,5526
15,house,5517
16,jazz,4973
17,newage,4695
18,folk,4688
19,lounge,4652
20,poprock,4451
21,trance,4249
22,world,3778
23,metal,3689
24,atmospheric,3615
25,rap,3217
26,popfolk,3099
27,instrumentalpop,3054
28,funk,2648
29,electropop,2481
30,progressive,2449
31,triphop,2410
32,blues,2402
33,industrial,2383
34,downtempo,2359
35,psychedelic,2078
36,minimal,1926
37,reggae,1912
38,punk,1764
39,symphonic,1755
40,instrumentalrock,1637
41,club,1580
42,singersongwriter,1538
43,synthpop,1487
44,dubstep,1421
45,darkambient,1403
46,drumnbass,1298
47,improvisation,1265
48,fusion,1241
49,latin,1204
50,rnb,1175
51,country,1172
52,noise,1121
53,lofi,1099
54,hardrock,1081
55,darkwave,1072
56,eletronica,1068
57,deephouse,1067
58,dub,1044
59,idm,1010
60,breakbeat,1001
61,disco,978
62,avantgarde,961
63,80s,956
64,ethno,927
65,gothic,901
66,soul,874
67,chanson,866
68,postrock,853
69,90s,828
70,soundtracks,755
71,grunge,734
72,contemporary,732
73,hardcore,703
74,eurodance,676
75,newwave,651
76,acidjazz,639
77,acidhouse,614
78,dancehall,614
79,technoindustrial,610
80,edm,604
81,classicrock,587
82,punkrock,578
83,electronical,561
84,alternativerock,559
85,rocknroll,537
86,electronicmusic,532
87,8bit,524
88,chansonfrancaise,512
89,groove,494
90,celtic,481
91,progressiverock,474
92,heavymetal,473
93,electronik,461
94,ska,458
95,drone,451
96,70s,451
97,acid,446
98,hard,446
99,60s,437
100,jazzfusion,421
101,swing,414
102,jazzfunk,408
103,score,396
104,minimalism,395
105,glitch,393
106,psytrance,387
107,tribal,374
108,choir,371
109,ethnicrock,370
110,minimaltechno,338
111,powerpop,337
112,oriental,335
113,rockfrancais,321
114,medieval,317
115,rave,313
116,deathmetal,305
117,jungle,304
118,garage,301
119,worldfusion,295
120,bossanova,285
121,bluesrock,281
122,electrorock,276
123,gangstarap,275
124,ebm,272
125,hardstyle,269
126,techhouse,268
127,computermusic,267
128,dancepop,264
129,housemusic,258
130,chiptune,258
131,african,257
132,electrohouse,257
133,flamenco,246
134,asian,245
135,death,238
136,rockpop,234
137,houseelectro,232
138,trap,231
139,ambiant,230
140,baroque,216
141,thrashmetal,213
142,elektro,212
143,neoclassical,210
144,gospel,207
145,ambiente,207
146,rockandroll,201
147,chilloutlounge,201
148,rhythmandblues,195
149,ambientmusic,195
150,reggaeton,190
151,christian,190
152,trip,188
153,waltz,185
154,choral,185
155,popelectro,180
156,jazzrock,178
157,electrojazz,161
158,freejazz,160
159,ragga,160
160,metalcore,156
161,technopop,155
162,cabaret,154
163,electronika,154
164,instrumentalhiphop,150
165,postpunk,150
166,loungemusic,149
167,indiepop,148
168,artrock,147
169,trancemusic,145
170,technohouse,143
171,folkpop,142
172,darkelectro,140
173,breakcore,139
174,soundscapes,137
175,dubelectro,136
176,blackmetal,134
177,popfunk,133
178,latino,131
179,electroambient,127
180,americana,125
181,souljazz,119
182,indietronica,119
183,nujazz,117
184,krautrock,117
185,acidrock,116
186,dancemusic,115
187,rockalternatif,114
188,guitarrock,113
189,progressivehouse,111
190,classicalmusic,111
191,hardtrance,109
192,samba,108
193,experimentalrock,106
194,downbeat,103
195,middleeastern,99
196,hardtek,98
197,tango,97
198,trancetechno,97
199,electrodance,95
200,stoner,94
201,southernrock,93
202,smoothjazz,93
203,synthwave,93
204,dancehouse,92
205,shoegaze,90
206,gipsy,89
207,goth,89
208,emo,84
209,march,84
210,countryrock,83
211,powermetal,83
212,progressivemetal,82
213,prog,82
214,britpop,80
215,worldmusik,79
216,doom,78
217,spacerock,77
218,opera,75
219,island,75
220,trancemelodique,74
221,dreampop,73
222,raps,70
223,electronicambient,69
224,hiphopinstrumental,69
225,electropunk,68
226,rapcore,65
227,indierock,64
228,variete,64
229,salsa,63
230,rapfrancais,62
231,tecno,62
232,glam,62
233,rocksteady,55
234,acousticrock,54
235,guitarras,54
236,jrock,49
237,droneambient,46
238,tekno,44
239,christianrap,43
240,gangsta,41
241,numetal,41
242,indierockpop,38
243,deutschrock,38
244,grindcore,36
245,bebop,33
246,poppunk,32
247,ragtime,25
248,chansonatexte,25
249,abstracthiphop,24
250,manouche,22
251,emocore,16
252,cocktailjazz,2
253,afrocubanjazz,1
