,tag,count
0,electronic,1529
1,rock,1019
2,pop,993
3,ambient,869
4,soundtrack,637
5,alternative,634
6,experimental,598
7,easylistening,583
8,classical,567
9,dance,463
10,chillout,440
11,jazz,402
12,poprock,359
13,indie,355
14,world,349
15,folk,347
16,techno,345
17,hiphop,335
18,lounge,327
19,house,325
20,funk,319
21,orchestral,300
22,popfolk,283
23,atmospheric,276
24,trance,265
25,instrumentalpop,261
26,newage,260
27,blues,253
28,metal,232
29,progressive,224
30,triphop,220
31,electropop,209
32,reggae,206
33,downtempo,189
34,minimal,174
35,rap,170
36,psychedelic,160
37,instrumentalrock,151
38,rnb,145
39,industrial,142
40,dubstep,140
41,latin,140
42,drumnbass,140
43,ethno,137
44,fusion,135
45,club,133
46,symphonic,131
47,punk,127
48,country,126
49,disco,123
50,singersongwriter,122
51,eletronica,121
52,darkambient,119
53,breakbeat,117
54,soul,115
55,synthpop,114
56,dub,109
57,hardrock,108
58,80s,94
59,contemporary,91
60,eurodance,88
61,rocknroll,82
62,improvisation,81
63,grunge,81
64,postrock,79
65,groove,79
66,90s,75
67,soundtracks,75
68,deephouse,74
69,celtic,74
70,electronical,73
71,jazzfunk,73
72,idm,71
73,bossanova,70
74,alternativerock,67
75,darkwave,66
76,swing,66
77,70s,65
78,punkrock,64
79,acidjazz,64
80,classicrock,64
81,newwave,64
82,electronik,63
83,oriental,62
84,hard,60
85,chanson,59
86,ethnicrock,58
87,jazzfusion,57
88,60s,57
89,choir,56
90,ska,54
91,edm,54
92,gothic,54
93,worldfusion,53
94,bluesrock,52
95,heavymetal,52
96,medieval,52
97,electronicmusic,51
98,tribal,51
99,african,50
100,electrorock,49
101,rockpop,49
102,hardcore,48
103,dancepop,47
104,lofi,47
105,waltz,46
106,glitch,45
107,noise,44
108,flamenco,44
109,powerpop,44
110,acid,40
111,technoindustrial,40
112,minimaltechno,40
113,acidhouse,39
114,garage,39
115,progressiverock,39
116,chilloutlounge,39
117,avantgarde,39
118,rockandroll,38
119,dancehall,38
120,psytrance,38
121,chansonfrancaise,37
122,jungle,36
123,techhouse,36
124,ambiente,34
125,elektro,32
126,drone,31
127,electrohouse,31
128,8bit,30
129,latino,30
130,popfunk,30
131,indiepop,30
132,gangstarap,29
133,ambiant,29
134,asian,29
135,tango,29
136,choral,29
137,trap,28
138,samba,27
139,score,27
140,gospel,27
141,trip,27
142,jazzrock,26
143,houseelectro,26
144,souljazz,26
145,gipsy,26
146,popelectro,26
147,dancemusic,25
148,rhythmandblues,25
149,ebm,25
150,folkpop,24
151,middleeastern,23
152,electrodance,23
153,ragga,23
154,reggaeton,22
155,neoclassical,22
156,loungemusic,22
157,progressivehouse,22
158,thrashmetal,22
159,freejazz,22
160,southernrock,21
161,rockfrancais,21
162,housemusic,21
163,rave,21
164,acidrock,21
165,minimalism,20
166,chiptune,20
167,electrojazz,20
168,trancemusic,20
169,baroque,19
170,technohouse,19
171,hardstyle,19
172,deathmetal,19
173,death,19
174,electroambient,18
175,dubelectro,18
176,americana,18
177,downbeat,18
178,guitarrock,18
179,smoothjazz,18
180,ambientmusic,17
181,dancehouse,17
182,salsa,17
183,technopop,17
184,island,17
185,powermetal,16
186,soundscapes,16
187,march,16
188,indietronica,15
189,trancetechno,15
190,classicalmusic,15
191,electronicambient,15
192,emo,15
193,electropunk,15
194,shoegaze,15
195,prog,15
196,computermusic,15
197,postpunk,14
198,rocksteady,14
199,artrock,14
200,electronika,14
201,metalcore,14
202,countryrock,13
203,acousticrock,13
204,nujazz,13
205,christian,13
206,instrumentalhiphop,13
207,indierock,12
208,dreampop,12
209,opera,12
210,darkelectro,12
211,breakcore,11
212,variete,11
213,ragtime,11
214,cabaret,11
215,raps,10
216,worldmusik,10
217,hardtrance,10
218,gangsta,10
219,synthwave,10
220,indierockpop,9
221,spacerock,9
222,stoner,9
223,trancemelodique,9
224,hardtek,8
225,krautrock,8
226,manouche,8
227,bebop,8
228,rapfrancais,8
229,tecno,8
230,jrock,8
231,rockalternatif,8
232,blackmetal,7
233,glam,7
234,britpop,7
235,progressivemetal,7
236,goth,7
237,experimentalrock,7
238,guitarras,6
239,numetal,6
240,poppunk,5
241,grindcore,5
242,abstracthiphop,5
243,doom,4
244,christianrap,4
245,emocore,4
246,hiphopinstrumental,3
247,rapcore,3
248,tekno,2
249,droneambient,2
250,chansonatexte,2
251,deutschrock,1
252,cocktailjazz,0
253,afrocubanjazz,0
