,tag,count
0,electronic,16326
1,soundtrack,7946
2,pop,7805
3,ambient,7467
4,rock,6865
5,classical,5599
6,easylistening,4833
7,experimental,3941
8,alternative,3761
9,chillout,3678
10,dance,2809
11,hiphop,2657
12,indie,2632
13,folk,2498
14,orchestral,2434
15,jazz,2371
16,lounge,2211
17,newage,2202
18,techno,2172
19,house,2137
20,poprock,2120
21,world,1887
22,popfolk,1759
23,trance,1523
24,instrumentalpop,1477
25,metal,1435
26,downtempo,1431
27,atmospheric,1395
28,triphop,1343
29,funk,1283
30,reggae,1245
31,blues,1082
32,progressive,1034
33,rap,987
34,electropop,937
35,singersongwriter,776
36,symphonic,712
37,latin,704
38,industrial,696
39,synthpop,635
40,minimal,629
41,punk,603
42,instrumentalrock,598
43,psychedelic,590
44,country,584
45,club,579
46,dubstep,547
47,fusion,512
48,rnb,512
49,darkambient,509
50,soul,504
51,drumnbass,501
52,hardrock,490
53,disco,447
54,dub,445
55,ethno,429
56,deephouse,427
57,dancehall,413
58,breakbeat,382
59,postrock,377
60,grunge,375
61,90s,359
62,improvisation,332
63,contemporary,318
64,80s,312
65,chanson,310
66,celtic,308
67,acidjazz,304
68,idm,287
69,darkwave,282
70,edm,281
71,avantgarde,279
72,noise,279
73,rocknroll,277
74,eletronica,277
75,ska,267
76,score,258
77,eurodance,244
78,lofi,234
79,heavymetal,222
80,classicrock,222
81,soundtracks,221
82,jazzfusion,221
83,punkrock,219
84,groove,216
85,technoindustrial,215
86,worldfusion,214
87,gothic,213
88,electronical,213
89,70s,202
90,progressiverock,201
91,drone,195
92,jazzfunk,191
93,hardcore,189
94,newwave,187
95,alternativerock,180
96,60s,179
97,hard,177
98,tribal,175
99,swing,169
100,choir,167
101,chansonfrancaise,167
102,minimalism,161
103,8bit,161
104,electronicmusic,159
105,powerpop,156
106,electronik,155
107,bossanova,148
108,baroque,142
109,ethnicrock,140
110,bluesrock,139
111,glitch,135
112,medieval,135
113,oriental,134
114,psytrance,132
115,chiptune,128
116,flamenco,128
117,garage,127
118,chilloutlounge,121
119,african,121
120,instrumentalhiphop,120
121,ambiant,119
122,neoclassical,118
123,acid,117
124,thrashmetal,113
125,dancepop,113
126,ragga,110
127,electrohouse,108
128,indiepop,106
129,electrorock,102
130,folkpop,102
131,rockpop,96
132,jungle,94
133,rockandroll,94
134,hardstyle,93
135,rockfrancais,93
136,houseelectro,92
137,ebm,92
138,asian,92
139,ambiente,89
140,acidhouse,89
141,minimaltechno,89
142,techhouse,87
143,jazzrock,87
144,choral,85
145,waltz,84
146,housemusic,83
147,americana,80
148,gangstarap,77
149,electroambient,76
150,reggaeton,74
151,artrock,73
152,electrojazz,72
153,deathmetal,72
154,death,70
155,technopop,69
156,popelectro,67
157,loungemusic,66
158,christian,66
159,trap,64
160,gospel,63
161,indietronica,62
162,latino,61
163,classicalmusic,61
164,trancemelodique,61
165,rhythmandblues,59
166,southernrock,58
167,popfunk,58
168,middleeastern,57
169,progressivehouse,56
170,trancemusic,55
171,smoothjazz,54
172,powermetal,54
173,worldmusik,53
174,rave,53
175,technohouse,52
176,souljazz,51
177,postpunk,51
178,electronika,50
179,hiphopinstrumental,50
180,progressivemetal,49
181,ambientmusic,49
182,trip,49
183,gipsy,48
184,soundscapes,47
185,nujazz,47
186,dancemusic,46
187,prog,46
188,shoegaze,46
189,metalcore,44
190,elektro,44
191,downbeat,43
192,indierock,41
193,synthwave,41
194,freejazz,40
195,samba,39
196,cabaret,39
197,rapfrancais,38
198,guitarras,38
199,stoner,37
200,acidrock,37
201,rocksteady,36
202,salsa,36
203,goth,36
204,tango,35
205,rockalternatif,35
206,march,34
207,guitarrock,34
208,electrodance,34
209,darkelectro,33
210,electronicambient,33
211,breakcore,32
212,dreampop,32
213,emo,32
214,island,30
215,dubelectro,30
216,electropunk,28
217,opera,27
218,variete,27
219,indierockpop,26
220,hardtrance,26
221,britpop,26
222,bebop,26
223,countryrock,25
224,spacerock,24
225,jrock,23
226,krautrock,23
227,blackmetal,22
228,dancehouse,22
229,computermusic,21
230,acousticrock,21
231,trancetechno,20
232,experimentalrock,20
233,glam,19
234,raps,19
235,grindcore,19
236,numetal,18
237,ragtime,17
238,gangsta,16
239,manouche,15
240,rapcore,12
241,poppunk,11
242,tecno,10
243,tekno,10
244,chansonatexte,9
245,doom,8
246,abstracthiphop,7
247,hardtek,7
248,emocore,5
249,christianrap,4
250,droneambient,3
251,deutschrock,1
252,cocktailjazz,0
253,afrocubanjazz,0
