,tag,count
0,piano,2083
1,bass,1369
2,synthesizer,1274
3,guitar,1154
4,electricguitar,1110
5,drum,1005
6,acousticguitar,568
7,computer,510
8,violin,456
9,drums,434
10,strings,426
11,voice,402
12,drummachine,397
13,synth,395
14,keyboard,343
15,cello,307
16,flute,305
17,electricpiano,295
18,sampler,260
19,trumpet,245
20,orchestra,242
21,percussion,194
22,classicalguitar,191
23,saxophone,185
24,harp,173
25,pianosolo,147
26,synths,147
27,ukulele,144
28,doublebass,144
29,guitars,128
30,viola,127
31,brass,127
32,rhodes,125
33,accordion,122
34,beat,122
35,organ,113
36,clarinet,106
37,acousticbassguitar,106
38,pipeorgan,104
39,trombone,102
40,horn,98
41,bell,97
42,harmonica,94
43,beats,85
44,oboe,83
45,guitare,81
46,glockenspiel,80
47,electronicorgan,79
48,hammond,74
49,sax,74
50,synthesizers,71
51,choirs,71
52,timpani,68
53,violins,67
54,xylophone,67
55,vibraphone,67
56,keyboards,66
57,bells,63
58,percussions,62
59,slideguitar,61
60,banjo,61
61,bongo,57
62,pads,54
63,guitares,54
64,synthetizer,51
65,tambourine,51
66,flutes,51
67,sitar,51
68,horns,51
69,violons,50
70,marimba,50
71,panflute,47
72,conga,46
73,cymbal,44
74,mandolin,43
75,celesta,41
76,pad,40
77,electricguitars,37
78,tuba,36
79,guitareelectrique,34
80,batterie,34
81,violon,33
82,djembe,33
83,harpsichord,32
84,mellotron,31
85,keys,31
86,bongos,30
87,bassoon,30
88,tabla,30
89,vocoder,30
90,woodwind,29
91,taiko,28
92,cajon,27
93,cvp509,27
94,melodica,26
95,string,25
96,guitarra,25
97,bassguitar,24
98,piccolo,23
99,pianoforte,23
100,kalimba,23
101,accordeon,22
102,synthé,22
103,koto,20
104,bagpipes,18
105,tinwhistle,18
106,triangle,17
107,lapsteelguitar,17
108,tubularbell,16
109,woodblock,16
110,didgeridoo,16
111,pianos,16
112,gobletdrum,15
113,oud,15
114,carillon,13
115,castanets,13
116,ewi,13
117,kaosspad,13
118,ney,13
119,cabasa,12
120,basso,12
121,cimbalom,11
122,synthetiseur,11
123,fiddle,11
124,santur,11
125,bandoneon,11
126,batteria,10
127,flugelhorn,10
128,clavier,10
129,teclados,9
130,charango,9
131,metallophone,9
132,theremin,9
133,hang,9
134,udu,9
135,tamtam,9
136,chitarra,9
137,shamisen,9
138,cowbell,8
139,balalaika,8
140,jewsharp,8
141,bodhran,8
142,erhu,8
143,berimbau,7
144,bateria,7
145,bajo,7
146,bombarde,7
147,shekere,6
148,mbira,6
149,alboka,6
150,lute,6
151,synthetiseurs,6
152,ocarina,6
153,dunun,6
154,musicalsaw,6
155,pandeiro,6
156,balafon,5
157,tambura,5
158,steelpan,5
159,mellophone,5
160,claviers,5
161,guiro,5
162,harmonium,5
163,clavichord,4
164,euphonium,4
165,cuica,3
166,mandola,3
167,concertina,3
168,kazoo,3
169,gimbri,2
170,washboard,2
171,bandura,2
172,alphorn,2
173,singingbowl,2
174,chapmanstick,2
175,glassharmonica,1
176,surdo,1
177,sarrusophone,1
178,lyre,1
179,tubax,1
180,continuum,1
181,kora,1
182,sarangi,1
183,sousaphone,1
184,handbell,1
185,kanun,0
186,cittern,0
187,heckelphone,0
188,dholak,0
189,soprillo,0
190,hautbois,0
191,turntable,0
