,tag,count
0,piano,3061
1,synthesizer,2403
2,bass,2294
3,electricguitar,1937
4,guitar,1773
5,drum,1665
6,computer,1015
7,acousticguitar,858
8,drums,792
9,voice,715
10,drummachine,713
11,violin,693
12,strings,692
13,keyboard,646
14,synth,622
15,electricpiano,541
16,sampler,505
17,flute,499
18,cello,449
19,trumpet,384
20,orchestra,347
21,percussion,292
22,classicalguitar,283
23,saxophone,275
24,pianosolo,245
25,beat,238
26,synths,234
27,harp,230
28,brass,218
29,electronicorgan,204
30,organ,198
31,doublebass,198
32,synthesizers,195
33,viola,195
34,guitars,189
35,pipeorgan,183
36,acousticbassguitar,181
37,accordion,180
38,rhodes,171
39,clarinet,162
40,ukulele,161
41,hammond,149
42,harmonica,147
43,oboe,144
44,beats,134
45,bell,133
46,trombone,133
47,horn,132
48,guitare,130
49,violins,113
50,sax,112
51,vibraphone,111
52,percussions,109
53,bells,106
54,choirs,105
55,glockenspiel,104
56,slideguitar,103
57,guitares,101
58,bongo,99
59,xylophone,99
60,flutes,93
61,keyboards,93
62,timpani,91
63,harpsichord,88
64,synthetizer,88
65,tambourine,87
66,bassguitar,87
67,sitar,79
68,banjo,78
69,marimba,77
70,pads,77
71,panflute,74
72,mandolin,73
73,violons,72
74,conga,72
75,horns,70
76,cymbal,68
77,keys,65
78,pad,64
79,vocoder,61
80,tuba,59
81,batterie,59
82,electricguitars,57
83,djembe,55
84,violon,54
85,guitareelectrique,53
86,synthé,53
87,guitarra,52
88,mellotron,52
89,bassoon,50
90,string,50
91,celesta,50
92,bongos,48
93,tabla,45
94,melodica,44
95,woodwind,39
96,pianos,38
97,cajon,38
98,accordeon,35
99,piccolo,35
100,synthetiseurs,34
101,pianoforte,33
102,taiko,32
103,kalimba,32
104,tinwhistle,31
105,triangle,30
106,ewi,29
107,cvp509,27
108,lapsteelguitar,26
109,bagpipes,25
110,bajo,24
111,theremin,24
112,tubularbell,24
113,clavier,23
114,didgeridoo,23
115,koto,23
116,gobletdrum,22
117,woodblock,22
118,synthetiseur,22
119,kaosspad,21
120,basso,21
121,claviers,20
122,balalaika,19
123,teclados,19
124,castanets,18
125,carillon,18
126,oud,17
127,metallophone,17
128,cowbell,17
129,chitarra,17
130,fiddle,17
131,ney,16
132,berimbau,16
133,cabasa,16
134,ocarina,16
135,jewsharp,16
136,tamtam,15
137,batteria,15
138,cimbalom,15
139,flugelhorn,15
140,santur,14
141,steelpan,14
142,hang,14
143,shamisen,14
144,bandoneon,13
145,bateria,13
146,erhu,12
147,charango,12
148,udu,12
149,bodhran,11
150,mbira,10
151,bombarde,10
152,tambura,10
153,harmonium,10
154,pandeiro,9
155,balafon,9
156,clavichord,9
157,dunun,9
158,shekere,9
159,kazoo,9
160,musicalsaw,8
161,mandola,7
162,alboka,6
163,lute,6
164,singingbowl,6
165,mellophone,5
166,euphonium,5
167,guiro,5
168,bandura,4
169,concertina,4
170,gimbri,4
171,handbell,4
172,sarrusophone,3
173,washboard,3
174,cuica,3
175,surdo,3
176,kora,3
177,tubax,3
178,chapmanstick,3
179,sarangi,2
180,alphorn,2
181,continuum,2
182,sousaphone,2
183,soprillo,2
184,glassharmonica,2
185,hautbois,1
186,dholak,1
187,cittern,1
188,lyre,1
189,heckelphone,1
190,kanun,1
191,turntable,1
