,tag,count
0,piano,1180
1,bass,1032
2,electricguitar,899
3,guitar,883
4,synthesizer,878
5,drum,766
6,acousticguitar,463
7,computer,431
8,voice,410
9,drummachine,348
10,drums,334
11,synth,334
12,keyboard,330
13,violin,328
14,strings,301
15,electricpiano,283
16,flute,256
17,sampler,254
18,cello,239
19,trumpet,209
20,classicalguitar,173
21,percussion,170
22,orchestra,163
23,saxophone,158
24,beat,127
25,viola,126
26,doublebass,119
27,harp,119
28,organ,118
29,pipeorgan,116
30,accordion,114
31,guitars,114
32,acousticbassguitar,113
33,synths,110
34,rhodes,107
35,brass,107
36,clarinet,100
37,harmonica,98
38,synthesizers,96
39,electronicorgan,91
40,pianosolo,85
41,bell,84
42,trombone,82
43,guitare,82
44,violins,80
45,oboe,80
46,bells,78
47,sax,76
48,beats,74
49,horn,74
50,percussions,72
51,hammond,70
52,sitar,68
53,choirs,66
54,bongo,66
55,ukulele,65
56,slideguitar,65
57,glockenspiel,64
58,xylophone,63
59,timpani,61
60,tambourine,58
61,flutes,56
62,conga,54
63,panflute,54
64,vibraphone,54
65,synthetizer,53
66,electricguitars,52
67,keyboards,51
68,pads,51
69,marimba,51
70,guitares,49
71,banjo,49
72,djembe,47
73,cymbal,47
74,horns,46
75,vocoder,45
76,mandolin,43
77,bassguitar,42
78,guitarra,42
79,guitareelectrique,42
80,harpsichord,40
81,batterie,38
82,pad,37
83,keys,36
84,bassoon,35
85,tabla,34
86,tuba,34
87,string,34
88,mellotron,34
89,synthé,30
90,violon,30
91,melodica,29
92,pianos,29
93,violons,28
94,bongos,26
95,piccolo,25
96,tinwhistle,24
97,cajon,24
98,taiko,24
99,theremin,23
100,ewi,23
101,triangle,23
102,pianoforte,23
103,celesta,23
104,tubularbell,23
105,accordeon,23
106,synthetiseurs,21
107,woodwind,21
108,bagpipes,21
109,didgeridoo,20
110,gobletdrum,20
111,kalimba,19
112,basso,17
113,cowbell,17
114,bajo,17
115,koto,17
116,kaosspad,16
117,woodblock,16
118,claviers,15
119,chitarra,15
120,castanets,15
121,lapsteelguitar,15
122,balalaika,14
123,cabasa,14
124,synthetiseur,14
125,oud,14
126,ocarina,13
127,bateria,13
128,fiddle,13
129,jewsharp,13
130,batteria,13
131,metallophone,13
132,flugelhorn,13
133,clavier,13
134,carillon,12
135,bandoneon,11
136,erhu,11
137,hang,11
138,santur,11
139,steelpan,11
140,bodhran,11
141,ney,11
142,udu,10
143,shamisen,10
144,tamtam,10
145,clavichord,9
146,shekere,9
147,balafon,8
148,cimbalom,8
149,dunun,8
150,kazoo,8
151,tambura,7
152,charango,7
153,bombarde,7
154,pandeiro,7
155,harmonium,7
156,teclados,6
157,singingbowl,6
158,berimbau,6
159,lute,6
160,cvp509,6
161,musicalsaw,5
162,guiro,5
163,mellophone,5
164,mbira,5
165,euphonium,5
166,mandola,4
167,bandura,4
168,handbell,4
169,tubax,3
170,kora,3
171,cuica,3
172,chapmanstick,3
173,washboard,3
174,sarrusophone,3
175,surdo,3
176,gimbri,3
177,alboka,2
178,glassharmonica,2
179,soprillo,2
180,continuum,2
181,sousaphone,2
182,concertina,2
183,sarangi,2
184,alphorn,2
185,kanun,1
186,heckelphone,1
187,lyre,1
188,cittern,1
189,dholak,1
190,hautbois,1
191,turntable,1
