,tag,count
0,piano,11858
1,synthesizer,11220
2,bass,9753
3,electricguitar,8290
4,drum,7208
5,guitar,6500
6,computer,4814
7,drummachine,3503
8,acousticguitar,3337
9,voice,3262
10,drums,2902
11,keyboard,2851
12,violin,2473
13,electricpiano,2389
14,sampler,2326
15,synth,2152
16,strings,2053
17,cello,1586
18,flute,1297
19,trumpet,1261
20,classicalguitar,1147
21,percussion,1093
22,saxophone,1075
23,orchestra,899
24,brass,820
25,synths,779
26,harp,772
27,electronicorgan,771
28,keyboards,756
29,rhodes,715
30,pianosolo,713
31,doublebass,655
32,pipeorgan,643
33,hammond,631
34,beat,628
35,bell,616
36,beats,613
37,acousticbassguitar,598
38,trombone,596
39,viola,586
40,accordion,585
41,guitars,544
42,clarinet,516
43,ukulele,500
44,horn,487
45,oboe,407
46,synthesizers,397
47,synthetizer,353
48,guitare,338
49,harmonica,331
50,bongos,327
51,organ,308
52,guitares,301
53,cymbal,294
54,timpani,275
55,glockenspiel,269
56,woodwind,268
57,cvp509,267
58,marimba,264
59,vibraphone,260
60,bassguitar,254
61,xylophone,251
62,bongo,248
63,panflute,243
64,violins,239
65,choirs,231
66,sax,219
67,conga,211
68,tambourine,206
69,celesta,201
70,violons,200
71,slideguitar,187
72,percussions,184
73,harpsichord,181
74,banjo,176
75,sitar,173
76,mandolin,172
77,batterie,170
78,guitarra,167
79,bells,164
80,pad,162
81,keys,147
82,pads,147
83,tuba,139
84,tabla,135
85,mellotron,135
86,horns,130
87,synthé,129
88,flutes,126
89,ewi,124
90,djembe,115
91,bassoon,114
92,electricguitars,113
93,string,112
94,tinwhistle,107
95,vocoder,105
96,violon,102
97,bajo,96
98,melodica,96
99,synthetiseur,94
100,piccolo,90
101,basso,90
102,batteria,89
103,tubularbell,87
104,teclados,87
105,cajon,85
106,chitarra,84
107,synthetiseurs,81
108,pianoforte,79
109,triangle,79
110,taiko,74
111,cimbalom,73
112,guitareelectrique,72
113,jewsharp,69
114,kaosspad,67
115,musicalsaw,65
116,accordeon,64
117,theremin,63
118,cabasa,62
119,woodblock,62
120,lapsteelguitar,61
121,kalimba,61
122,gobletdrum,61
123,pianos,60
124,claviers,59
125,didgeridoo,59
126,carillon,56
127,bagpipes,56
128,koto,52
129,balalaika,50
130,hang,50
131,ney,48
132,clavichord,46
133,flugelhorn,43
134,steelpan,43
135,oud,41
136,castanets,40
137,cowbell,40
138,bateria,40
139,clavier,39
140,fiddle,35
141,harmonium,33
142,berimbau,32
143,dunun,31
144,handbell,29
145,tamtam,29
146,udu,28
147,metallophone,27
148,santur,27
149,mbira,27
150,erhu,25
151,mandola,24
152,bombarde,22
153,ocarina,21
154,mellophone,21
155,kora,19
156,gimbri,19
157,balafon,17
158,shamisen,16
159,glassharmonica,16
160,bodhran,16
161,pandeiro,16
162,tambura,16
163,bandoneon,15
164,washboard,13
165,tubax,13
166,charango,12
167,kazoo,11
168,alphorn,11
169,shekere,10
170,singingbowl,10
171,lute,10
172,sarrusophone,9
173,alboka,8
174,cittern,7
175,euphonium,7
176,guiro,7
177,sarangi,6
178,sousaphone,6
179,bandura,6
180,concertina,6
181,continuum,6
182,heckelphone,5
183,soprillo,4
184,cuica,3
185,chapmanstick,3
186,surdo,3
187,lyre,1
188,kanun,1
189,dholak,1
190,hautbois,1
191,turntable,1
