,tag,count
0,piano,863
1,bass,711
2,guitar,628
3,electricguitar,584
4,synthesizer,560
5,drum,518
6,acousticguitar,325
7,voice,257
8,computer,250
9,drums,246
10,violin,235
11,synth,227
12,strings,223
13,drummachine,212
14,keyboard,203
15,flute,177
16,electricpiano,175
17,cello,173
18,trumpet,150
19,sampler,142
20,orchestra,119
21,classicalguitar,118
22,percussion,117
23,saxophone,117
24,doublebass,96
25,harp,89
26,beat,87
27,guitars,86
28,viola,85
29,synths,82
30,accordion,80
31,rhodes,76
32,pipeorgan,76
33,brass,73
34,acousticbassguitar,71
35,organ,70
36,clarinet,69
37,trombone,67
38,harmonica,64
39,bell,62
40,pianosolo,60
41,ukulele,57
42,sax,56
43,guitare,54
44,horn,52
45,synthesizers,51
46,beats,50
47,violins,50
48,oboe,50
49,bells,49
50,glockenspiel,48
51,hammond,47
52,sitar,46
53,timpani,46
54,electronicorgan,46
55,slideguitar,45
56,percussions,44
57,choirs,44
58,xylophone,44
59,bongo,42
60,tambourine,39
61,vibraphone,39
62,pads,39
63,banjo,38
64,conga,37
65,flutes,37
66,cymbal,34
67,panflute,34
68,electricguitars,34
69,synthetizer,33
70,keyboards,33
71,marimba,32
72,horns,30
73,djembe,29
74,mandolin,29
75,vocoder,27
76,pad,27
77,tuba,27
78,guitares,25
79,guitareelectrique,24
80,bassoon,24
81,guitarra,23
82,harpsichord,23
83,mellotron,22
84,batterie,22
85,cajon,22
86,string,20
87,melodica,20
88,taiko,20
89,bassguitar,20
90,keys,20
91,tabla,20
92,bongos,19
93,celesta,18
94,synthé,17
95,woodwind,17
96,accordeon,16
97,piccolo,16
98,violons,16
99,triangle,15
100,kalimba,15
101,violon,15
102,tubularbell,15
103,pianoforte,15
104,koto,15
105,tinwhistle,14
106,bagpipes,14
107,didgeridoo,14
108,gobletdrum,13
109,pianos,13
110,woodblock,12
111,oud,12
112,lapsteelguitar,11
113,ewi,11
114,castanets,11
115,cabasa,11
116,fiddle,10
117,kaosspad,9
118,chitarra,9
119,bandoneon,9
120,theremin,9
121,basso,9
122,synthetiseur,8
123,tamtam,8
124,erhu,8
125,ney,8
126,cowbell,8
127,carillon,8
128,batteria,8
129,santur,8
130,bodhran,8
131,flugelhorn,8
132,jewsharp,7
133,udu,7
134,clavier,7
135,bateria,7
136,shamisen,7
137,bajo,7
138,dunun,6
139,cimbalom,6
140,ocarina,6
141,cvp509,6
142,hang,6
143,shekere,6
144,balalaika,6
145,metallophone,6
146,synthetiseurs,6
147,lute,6
148,steelpan,5
149,guiro,5
150,charango,5
151,claviers,5
152,mellophone,5
153,mbira,5
154,clavichord,4
155,bombarde,4
156,euphonium,4
157,berimbau,4
158,pandeiro,4
159,balafon,4
160,tambura,4
161,musicalsaw,3
162,kazoo,3
163,cuica,3
164,teclados,3
165,mandola,3
166,bandura,2
167,singingbowl,2
168,washboard,2
169,alboka,2
170,chapmanstick,2
171,alphorn,2
172,harmonium,2
173,concertina,1
174,surdo,1
175,sarrusophone,1
176,continuum,1
177,gimbri,1
178,sousaphone,1
179,handbell,1
180,sarangi,1
181,glassharmonica,1
182,kora,1
183,tubax,1
184,lyre,1
185,hautbois,0
186,dholak,0
187,kanun,0
188,heckelphone,0
189,soprillo,0
190,cittern,0
191,turntable,0
