,tag,count
0,piano,2098
1,bass,1376
2,synthesizer,1281
3,guitar,1158
4,electricguitar,1116
5,drum,1013
6,acousticguitar,570
7,computer,512
8,violin,462
9,drums,437
10,strings,431
11,voice,403
12,drummachine,399
13,synth,396
14,keyboard,344
15,cello,309
16,flute,308
17,electricpiano,295
18,sampler,262
19,trumpet,246
20,orchestra,242
21,percussion,198
22,classicalguitar,193
23,saxophone,185
24,harp,175
25,synths,148
26,doublebass,148
27,pianosolo,147
28,ukulele,144
29,viola,129
30,guitars,128
31,brass,127
32,rhodes,125
33,beat,124
34,accordion,123
35,organ,114
36,clarinet,109
37,acousticbassguitar,106
38,pipeorgan,106
39,trombone,104
40,horn,99
41,bell,98
42,harmonica,94
43,beats,85
44,oboe,83
45,glockenspiel,81
46,guitare,81
47,electronicorgan,79
48,hammond,74
49,sax,74
50,xylophone,71
51,synthesizers,71
52,choirs,71
53,timpani,69
54,vibraphone,68
55,violins,67
56,keyboards,66
57,bells,66
58,slideguitar,63
59,banjo,63
60,percussions,62
61,bongo,58
62,pads,54
63,guitares,54
64,marimba,53
65,sitar,53
66,flutes,51
67,tambourine,51
68,horns,51
69,violons,51
70,synthetizer,51
71,panflute,48
72,conga,46
73,cymbal,45
74,mandolin,43
75,celesta,42
76,pad,40
77,electricguitars,37
78,tuba,36
79,violon,34
80,guitareelectrique,34
81,batterie,34
82,djembe,33
83,harpsichord,33
84,bassoon,32
85,keys,31
86,bongos,31
87,mellotron,31
88,vocoder,30
89,tabla,30
90,woodwind,29
91,taiko,28
92,cvp509,27
93,cajon,27
94,melodica,26
95,string,25
96,guitarra,25
97,piccolo,24
98,bassguitar,24
99,kalimba,23
100,accordeon,23
101,pianoforte,23
102,synthé,22
103,koto,20
104,tinwhistle,18
105,bagpipes,18
106,triangle,17
107,lapsteelguitar,17
108,tubularbell,16
109,woodblock,16
110,didgeridoo,16
111,pianos,16
112,gobletdrum,15
113,oud,15
114,ney,13
115,castanets,13
116,cabasa,13
117,kaosspad,13
118,carillon,13
119,ewi,13
120,cimbalom,12
121,synthetiseur,12
122,basso,12
123,fiddle,11
124,bandoneon,11
125,santur,11
126,batteria,10
127,flugelhorn,10
128,clavier,10
129,teclados,9
130,charango,9
131,metallophone,9
132,theremin,9
133,hang,9
134,udu,9
135,tamtam,9
136,chitarra,9
137,shamisen,9
138,cowbell,8
139,balalaika,8
140,jewsharp,8
141,bodhran,8
142,erhu,8
143,berimbau,7
144,bateria,7
145,bajo,7
146,bombarde,7
147,shekere,6
148,mbira,6
149,alboka,6
150,lute,6
151,synthetiseurs,6
152,ocarina,6
153,dunun,6
154,musicalsaw,6
155,pandeiro,6
156,balafon,5
157,tambura,5
158,steelpan,5
159,mellophone,5
160,claviers,5
161,guiro,5
162,harmonium,5
163,clavichord,4
164,euphonium,4
165,cuica,3
166,mandola,3
167,concertina,3
168,kazoo,3
169,gimbri,2
170,washboard,2
171,bandura,2
172,alphorn,2
173,singingbowl,2
174,chapmanstick,2
175,glassharmonica,1
176,surdo,1
177,sarrusophone,1
178,lyre,1
179,tubax,1
180,continuum,1
181,kora,1
182,sarangi,1
183,sousaphone,1
184,handbell,1
185,kanun,0
186,cittern,0
187,heckelphone,0
188,dholak,0
189,soprillo,0
190,hautbois,0
191,turntable,0
