,tag,count
0,piano,7720
1,bass,5792
2,synthesizer,5726
3,drum,4316
4,electricguitar,4299
5,guitar,4112
6,computer,2091
7,acousticguitar,1969
8,drums,1837
9,drummachine,1798
10,voice,1620
11,violin,1614
12,keyboard,1422
13,electricpiano,1284
14,strings,1259
15,synth,1175
16,cello,1122
17,sampler,1084
18,trumpet,875
19,flute,820
20,percussion,811
21,saxophone,761
22,classicalguitar,735
23,orchestra,648
24,keyboards,601
25,harp,595
26,rhodes,543
27,brass,519
28,trombone,502
29,bell,473
30,electronicorgan,467
31,doublebass,454
32,pianosolo,442
33,synths,411
34,hammond,409
35,ukulele,406
36,viola,403
37,beats,392
38,clarinet,373
39,accordion,372
40,horn,371
41,guitars,358
42,acousticbassguitar,309
43,pipeorgan,293
44,beat,282
45,oboe,281
46,cvp509,267
47,synthetizer,251
48,harmonica,229
49,glockenspiel,218
50,bongos,207
51,timpani,204
52,guitare,204
53,woodwind,198
54,marimba,192
55,celesta,189
56,cymbal,175
57,vibraphone,159
58,organ,158
59,choirs,156
60,banjo,154
61,synthesizers,152
62,violins,145
63,xylophone,144
64,sax,135
65,percussions,118
66,conga,117
67,bongo,115
68,guitares,112
69,slideguitar,112
70,panflute,112
71,bells,110
72,mandolin,109
73,tambourine,103
74,violons,101
75,horns,98
76,pads,95
77,pad,95
78,batterie,89
79,tuba,84
80,tabla,83
81,sitar,81
82,mellotron,79
83,bassoon,79
84,tubularbell,79
85,electricguitars,77
86,harpsichord,72
87,bassguitar,72
88,batteria,72
89,flutes,67
90,violon,63
91,cajon,63
92,basso,62
93,pianoforte,58
94,melodica,58
95,keys,58
96,djembe,57
97,guitarra,53
98,cimbalom,53
99,string,52
100,synthetiseur,49
101,taiko,48
102,accordeon,48
103,tinwhistle,48
104,musicalsaw,46
105,guitareelectrique,46
106,triangle,46
107,vocoder,44
108,synthé,43
109,chitarra,43
110,ewi,39
111,woodblock,39
112,kaosspad,38
113,oud,38
114,lapsteelguitar,37
115,koto,36
116,piccolo,35
117,cabasa,35
118,kalimba,34
119,bagpipes,32
120,ney,30
121,balalaika,29
122,castanets,28
123,harmonium,27
124,clavier,23
125,fiddle,23
126,flugelhorn,23
127,didgeridoo,22
128,mellophone,21
129,erhu,21
130,bateria,21
131,carillon,20
132,gobletdrum,20
133,cowbell,20
134,berimbau,18
135,hang,18
136,metallophone,18
137,pianos,18
138,teclados,17
139,dunun,17
140,bajo,16
141,tamtam,16
142,santur,15
143,bandoneon,13
144,bodhran,13
145,mbira,13
146,synthetiseurs,12
147,washboard,12
148,jewsharp,11
149,claviers,11
150,shamisen,10
151,lute,10
152,theremin,10
153,bombarde,9
154,charango,9
155,udu,9
156,alboka,8
157,steelpan,8
158,pandeiro,8
159,clavichord,7
160,guiro,7
161,shekere,7
162,ocarina,6
163,tambura,6
164,mandola,6
165,balafon,5
166,concertina,5
167,kazoo,4
168,euphonium,4
169,cuica,3
170,bandura,3
171,gimbri,3
172,singingbowl,2
173,chapmanstick,2
174,alphorn,2
175,sarangi,1
176,glassharmonica,1
177,surdo,1
178,lyre,1
179,tubax,1
180,continuum,1
181,kora,1
182,handbell,1
183,sousaphone,1
184,sarrusophone,1
185,kanun,0
186,heckelphone,0
187,soprillo,0
188,dholak,0
189,cittern,0
190,hautbois,0
191,turntable,0
