,tag,count
0,piano,7629
1,bass,5648
2,synthesizer,5563
3,drum,4142
4,electricguitar,4134
5,guitar,4068
6,computer,2080
7,acousticguitar,1947
8,drums,1825
9,drummachine,1764
10,voice,1604
11,violin,1574
12,keyboard,1370
13,electricpiano,1282
14,strings,1226
15,synth,1172
16,cello,1114
17,sampler,1070
18,trumpet,873
19,percussion,802
20,flute,796
21,saxophone,761
22,classicalguitar,721
23,orchestra,640
24,keyboards,601
25,harp,589
26,rhodes,543
27,brass,518
28,trombone,497
29,electronicorgan,467
30,doublebass,440
31,pianosolo,440
32,hammond,409
33,synths,405
34,viola,398
35,bell,394
36,beats,390
37,ukulele,386
38,accordion,371
39,horn,369
40,clarinet,364
41,guitars,356
42,acousticbassguitar,309
43,pipeorgan,290
44,beat,279
45,oboe,278
46,cvp509,267
47,synthetizer,251
48,harmonica,229
49,glockenspiel,213
50,bongos,206
51,guitare,203
52,timpani,202
53,woodwind,198
54,marimba,189
55,celesta,186
56,cymbal,173
57,vibraphone,158
58,organ,157
59,choirs,155
60,synthesizers,152
61,banjo,145
62,violins,145
63,xylophone,137
64,sax,135
65,percussions,117
66,conga,116
67,guitares,112
68,bongo,112
69,slideguitar,110
70,mandolin,109
71,tambourine,102
72,violons,100
73,horns,98
74,pad,95
75,pads,95
76,panflute,93
77,bells,90
78,batterie,89
79,tuba,84
80,tabla,81
81,mellotron,79
82,sitar,79
83,electricguitars,77
84,bassoon,76
85,batteria,72
86,bassguitar,71
87,harpsichord,70
88,tubularbell,67
89,flutes,65
90,basso,62
91,violon,62
92,cajon,61
93,keys,58
94,pianoforte,58
95,melodica,58
96,djembe,57
97,guitarra,53
98,cimbalom,52
99,string,52
100,tinwhistle,48
101,synthetiseur,48
102,taiko,48
103,musicalsaw,46
104,guitareelectrique,46
105,accordeon,46
106,vocoder,44
107,chitarra,43
108,synthé,43
109,woodblock,39
110,ewi,39
111,kaosspad,38
112,oud,37
113,koto,36
114,lapsteelguitar,36
115,triangle,35
116,piccolo,34
117,cabasa,34
118,kalimba,33
119,bagpipes,32
120,ney,30
121,balalaika,29
122,harmonium,27
123,castanets,27
124,flugelhorn,23
125,fiddle,23
126,clavier,23
127,didgeridoo,22
128,mellophone,21
129,erhu,21
130,bateria,21
131,gobletdrum,20
132,cowbell,20
133,carillon,20
134,hang,18
135,pianos,18
136,teclados,17
137,dunun,17
138,berimbau,17
139,metallophone,17
140,tamtam,16
141,bajo,16
142,santur,15
143,bandoneon,13
144,mbira,13
145,bodhran,13
146,washboard,12
147,synthetiseurs,12
148,jewsharp,11
149,claviers,11
150,theremin,10
151,shamisen,10
152,lute,10
153,bombarde,9
154,charango,9
155,udu,9
156,alboka,8
157,pandeiro,8
158,steelpan,8
159,guiro,7
160,clavichord,7
161,shekere,7
162,ocarina,6
163,mandola,6
164,tambura,6
165,concertina,5
166,balafon,5
167,kazoo,4
168,euphonium,4
169,gimbri,3
170,bandura,3
171,cuica,3
172,alphorn,2
173,chapmanstick,2
174,singingbowl,2
175,tubax,1
176,kora,1
177,lyre,1
178,glassharmonica,1
179,sarrusophone,1
180,sousaphone,1
181,continuum,1
182,sarangi,1
183,handbell,1
184,surdo,1
185,kanun,0
186,cittern,0
187,heckelphone,0
188,soprillo,0
189,dholak,0
190,hautbois,0
191,turntable,0
