,tag,count
0,happy,577
1,dark,427
2,melodic,412
3,love,402
4,energetic,376
5,relaxing,372
6,epic,365
7,sad,341
8,film,301
9,romantic,287
10,dream,271
11,uplifting,258
12,emotional,256
13,meditative,252
14,advertising,236
15,positive,233
16,inspiring,226
17,corporate,218
18,motivational,211
19,calm,207
20,emotion,205
21,space,203
22,documentary,200
23,commercial,199
24,christmas,195
25,soft,192
26,adventure,191
27,dramatic,177
28,ballad,174
29,upbeat,174
30,drama,168
31,background,165
32,action,163
33,fun,160
34,slow,159
35,children,158
36,dreamy,158
37,inspirational,154
38,soundscape,145
39,deep,134
40,melancholic,132
41,movie,129
42,powerful,127
43,nature,127
44,comedy,117
45,summer,116
46,party,112
47,ambiental,111
48,cool,111
49,travel,110
50,filmmusic,102
51,funny,98
52,playful,98
53,beautiful,97
54,optimistic,97
55,trailer,96
56,hopeful,91
57,entertainment,91
58,groovy,90
59,sport,90
60,melancholy,86
61,energy,86
62,game,84
63,energic,83
64,horror,81
65,fast,80
66,sentimental,78
67,bright,77
68,mellow,76
69,videogame,76
70,mysterious,75
71,nostalgic,74
72,retro,73
73,peaceful,72
74,holiday,72
75,strange,72
76,fashion,71
77,sexy,67
78,filmscore,66
79,fantasy,66
80,sweet,63
81,night,61
82,relaxed,61
83,cheerful,60
84,tension,60
85,heavy,60
86,sadness,59
87,quiet,59
88,scifi,59
89,light,59
90,happiness,58
91,animation,58
92,lovesong,58
93,driving,57
94,melancolic,56
95,joyful,55
96,dancefloor,55
97,kids,54
98,catchy,54
99,spiritual,54
100,romance,54
101,thoughtful,53
102,folkrock,53
103,life,53
104,sea,53
105,dancing,52
106,western,51
107,scary,51
108,halloween,50
109,motivation,48
110,reflective,48
111,urban,48
112,beach,47
113,festive,47
114,suspense,46
115,dynamic,46
116,soulful,45
117,hope,45
118,society,45
119,bouncy,44
120,indian,43
121,heroic,43
122,war,42
123,communication,42
124,chilled,41
125,arabic,41
126,oldschool,40
127,business,39
128,warm,39
129,winter,39
130,battle,39
131,trippy,38
132,humor,38
133,traditional,38
134,strong,38
135,sports,38
136,magic,37
137,hypnotic,37
138,weird,36
139,angry,36
140,jingle,36
141,rain,35
142,aggressive,33
143,future,33
144,lullaby,33
145,culture,33
146,zen,32
147,wedding,32
148,video,31
149,drive,31
150,water,31
151,irish,31
152,youtube,30
153,spacey,30
154,thriller,30
155,mystery,30
156,tv,29
157,poetry,29
158,abstract,29
159,crime,29
160,brazil,28
161,ocean,28
162,africa,28
163,history,27
164,relaxation,27
165,cinema,27
166,ethereal,26
167,sex,26
168,cosmic,26
169,relaxingmusic,25
170,crazy,25
171,success,24
172,contemplative,24
173,xmas,24
174,news,24
175,technology,23
176,tech,23
177,trailermusic,23
178,japan,23
179,surf,23
180,motivate,23
181,yoga,23
182,vintage,23
183,loud,22
184,cold,22
185,laidback,22
186,france,21
187,child,21
188,clubbing,21
189,joy,20
190,dirty,19
191,political,19
192,mexico,19
193,religious,19
194,computers,19
195,tropical,19
196,social,19
197,india,18
198,robot,17
199,presentation,17
200,lovemusic,17
201,health,16
202,extreme,16
203,nice,16
204,psycho,15
205,north,15
206,science,14
207,epicmusic,14
208,darkness,14
209,planant,13
210,violence,12
211,creative,12
212,celebration,12
213,berlin,12
214,freedom,11
215,sciencefiction,11
216,spy,11
217,festif,11
218,silly,11
219,tribe,11
220,anxious,11
221,sleepy,10
222,eclectic,9
223,gloomy,9
224,lazy,9
225,education,9
226,high,8
227,colombia,7
228,drunk,7
229,pensive,7
230,sensible,6
231,russia,5
232,depressed,5
233,poesia,5
234,workout,5
235,adult,4
236,silentfilm,4
237,silence,4
238,excited,4
239,chaos,4
240,busy,3
241,argentina,3
242,loved,2
243,discontent,2
244,productive,2
245,thankful,2
246,curious,2
247,conscient,2
248,confused,2
249,determined,2
250,awake,1
251,disappointed,1
252,guilty,1
253,nervous,1
254,impressed,1
255,artistic,0
256,nordic,0
257,procession,0
258,flirty,0
259,annoyed,0
260,cranky,0
261,amor,0
262,easter,0
263,frustrated,0
264,content,0
265,stressed,0
266,accomplished,0
