,tag,count
0,happy,256
1,love,252
2,dark,250
3,melodic,233
4,relaxing,196
5,sad,196
6,epic,185
7,energetic,183
8,dream,160
9,emotional,145
10,romantic,142
11,space,136
12,film,135
13,meditative,129
14,uplifting,113
15,ballad,112
16,slow,105
17,calm,105
18,soft,103
19,fun,101
20,christmas,97
21,dreamy,91
22,upbeat,90
23,positive,89
24,dramatic,88
25,deep,87
26,melancholic,84
27,adventure,83
28,soundscape,81
29,inspiring,78
30,summer,77
31,children,76
32,powerful,76
33,advertising,75
34,background,75
35,party,75
36,action,73
37,movie,72
38,motivational,72
39,emotion,71
40,cool,71
41,nature,70
42,drama,70
43,funny,67
44,filmmusic,67
45,horror,66
46,fast,66
47,documentary,66
48,corporate,64
49,groovy,64
50,ambiental,64
51,commercial,63
52,travel,62
53,energic,61
54,energy,57
55,mellow,55
56,retro,55
57,inspirational,54
58,lovesong,54
59,melancholy,53
60,game,53
61,sexy,53
62,heavy,52
63,holiday,50
64,trailer,49
65,hopeful,49
66,relaxed,48
67,comedy,48
68,melancolic,48
69,beautiful,47
70,sadness,46
71,light,45
72,sentimental,45
73,mysterious,44
74,bright,44
75,night,44
76,dancefloor,44
77,filmscore,43
78,peaceful,43
79,sport,43
80,fantasy,42
81,life,42
82,western,42
83,nostalgic,42
84,romance,42
85,videogame,41
86,sea,41
87,dancing,41
88,strange,40
89,urban,39
90,beach,39
91,driving,39
92,hope,39
93,optimistic,38
94,folkrock,38
95,indian,37
96,spiritual,37
97,fashion,37
98,scifi,37
99,sweet,37
100,cheerful,36
101,arabic,36
102,war,36
103,quiet,36
104,soulful,36
105,winter,35
106,thoughtful,34
107,suspense,34
108,jingle,34
109,joyful,33
110,playful,33
111,angry,32
112,scary,32
113,tension,32
114,motivation,32
115,happiness,31
116,oldschool,30
117,water,30
118,warm,30
119,rain,29
120,catchy,29
121,bouncy,29
122,chilled,29
123,traditional,28
124,trippy,28
125,aggressive,28
126,lullaby,28
127,humor,28
128,sports,27
129,weird,27
130,battle,27
131,future,27
132,hypnotic,27
133,cinema,25
134,africa,25
135,dynamic,25
136,entertainment,24
137,thriller,24
138,tv,24
139,halloween,24
140,magic,24
141,drive,24
142,poetry,24
143,reflective,23
144,mystery,23
145,abstract,23
146,crazy,23
147,wedding,23
148,brazil,23
149,sex,23
150,heroic,23
151,ocean,23
152,cosmic,23
153,strong,23
154,crime,23
155,ethereal,23
156,relaxation,22
157,spacey,21
158,irish,21
159,business,21
160,clubbing,20
161,video,20
162,child,20
163,kids,20
164,contemplative,19
165,cold,19
166,news,19
167,relaxingmusic,19
168,trailermusic,19
169,zen,18
170,india,18
171,vintage,18
172,tech,18
173,surf,18
174,yoga,18
175,youtube,18
176,lovemusic,17
177,social,17
178,tropical,17
179,history,17
180,joy,17
181,communication,16
182,france,16
183,political,16
184,loud,16
185,dirty,16
186,laidback,15
187,xmas,15
188,nice,15
189,psycho,15
190,japan,15
191,science,14
192,culture,14
193,epicmusic,14
194,festive,14
195,computers,14
196,motivate,14
197,religious,14
198,society,13
199,darkness,13
200,robot,13
201,health,12
202,freedom,12
203,berlin,12
204,technology,11
205,celebration,11
206,planant,11
207,violence,11
208,success,10
209,sleepy,10
210,extreme,10
211,silly,10
212,anxious,10
213,creative,10
214,presentation,9
215,sciencefiction,9
216,lazy,8
217,high,8
218,festif,7
219,drunk,7
220,eclectic,7
221,tribe,7
222,gloomy,7
223,spy,7
224,sensible,6
225,colombia,6
226,pensive,5
227,education,5
228,poesia,5
229,depressed,5
230,mexico,5
231,silence,5
232,russia,5
233,silentfilm,4
234,chaos,4
235,workout,4
236,adult,3
237,argentina,3
238,determined,3
239,animation,3
240,excited,3
241,loved,2
242,discontent,2
243,thankful,2
244,north,2
245,curious,2
246,conscient,2
247,busy,2
248,confused,2
249,disappointed,1
250,nervous,1
251,guilty,1
252,impressed,1
253,productive,1
254,awake,1
255,easter,0
256,flirty,0
257,accomplished,0
258,annoyed,0
259,frustrated,0
260,stressed,0
261,cranky,0
262,procession,0
263,nordic,0
264,content,0
265,artistic,0
266,amor,0
