,tag,count
0,happy,1593
1,melodic,1213
2,dark,1191
3,relaxing,1146
4,energetic,1019
5,film,1011
6,epic,963
7,love,848
8,meditative,742
9,emotional,697
10,uplifting,693
11,advertising,673
12,sad,672
13,deep,635
14,dream,621
15,christmas,616
16,documentary,612
17,corporate,609
18,emotion,579
19,romantic,552
20,positive,539
21,inspiring,521
22,playful,519
23,motivational,513
24,summer,505
25,space,503
26,background,496
27,soundscape,480
28,fun,480
29,soft,465
30,ambiental,460
31,calm,457
32,adventure,448
33,upbeat,444
34,slow,437
35,filmmusic,430
36,commercial,428
37,drama,424
38,movie,413
39,action,407
40,inspirational,369
41,dreamy,360
42,children,344
43,ballad,334
44,dramatic,317
45,comedy,294
46,north,281
47,entertainment,279
48,filmscore,268
49,party,266
50,game,261
51,nature,259
52,beautiful,258
53,cool,251
54,powerful,238
55,sport,228
56,trailer,222
57,optimistic,214
58,retro,213
59,folkrock,210
60,funny,203
61,melancholic,198
62,energic,197
63,scifi,196
64,groovy,194
65,peaceful,181
66,sweet,179
67,nostalgic,178
68,fashion,177
69,mexico,176
70,holiday,176
71,bright,172
72,travel,171
73,thoughtful,168
74,quiet,166
75,melancholy,166
76,fantasy,161
77,horror,158
78,hopeful,158
79,energy,157
80,heavy,156
81,mellow,154
82,sentimental,154
83,animation,152
84,videogame,151
85,reflective,145
86,communication,143
87,driving,139
88,light,135
89,france,134
90,mysterious,133
91,kids,131
92,catchy,131
93,dynamic,128
94,sexy,122
95,spiritual,120
96,fast,119
97,dancefloor,117
98,happiness,112
99,strange,111
100,suspense,108
101,urban,107
102,business,107
103,relaxed,107
104,festive,103
105,halloween,101
106,heroic,99
107,western,99
108,brazil,99
109,romance,99
110,night,99
111,zen,96
112,society,95
113,cheerful,95
114,drive,92
115,oldschool,90
116,motivation,90
117,tension,90
118,sea,90
119,soulful,90
120,indian,88
121,lullaby,88
122,scary,87
123,sadness,86
124,tropical,82
125,trippy,82
126,melancolic,82
127,sports,81
128,war,81
129,lovesong,80
130,joyful,80
131,life,79
132,humor,79
133,bouncy,75
134,news,75
135,trailermusic,75
136,poetry,73
137,abstract,72
138,youtube,72
139,relaxation,71
140,jingle,71
141,hypnotic,71
142,future,68
143,angry,68
144,dancing,68
145,traditional,66
146,video,66
147,warm,66
148,ocean,66
149,arabic,65
150,beach,65
151,thriller,65
152,success,64
153,chilled,63
154,weird,63
155,winter,62
156,berlin,61
157,hope,60
158,cosmic,60
159,magic,59
160,epicmusic,58
161,surf,58
162,yoga,56
163,battle,56
164,aggressive,56
165,mystery,55
166,tv,55
167,history,55
168,crazy,54
169,laidback,54
170,strong,51
171,japan,48
172,culture,48
173,wedding,48
174,religious,47
175,motivate,46
176,spacey,46
177,irish,45
178,xmas,45
179,eclectic,45
180,social,44
181,water,43
182,cinema,42
183,clubbing,42
184,technology,41
185,relaxingmusic,41
186,rain,40
187,contemplative,40
188,tech,39
189,computers,39
190,child,38
191,sex,38
192,crime,38
193,political,37
194,presentation,36
195,extreme,36
196,ethereal,35
197,vintage,35
198,planant,34
199,robot,32
200,nice,32
201,loud,31
202,festif,31
203,joy,31
204,dirty,30
205,creative,30
206,africa,29
207,celebration,27
208,science,26
209,cold,26
210,health,25
211,anxious,22
212,darkness,22
213,conscient,21
214,spy,21
215,india,20
216,lovemusic,20
217,sciencefiction,20
218,sensible,19
219,psycho,16
220,freedom,15
221,violence,15
222,high,14
223,silly,13
224,tribe,12
225,chaos,12
226,sleepy,12
227,gloomy,11
228,education,11
229,lazy,11
230,russia,10
231,workout,9
232,colombia,9
233,silentfilm,9
234,poesia,9
235,pensive,8
236,drunk,7
237,silence,7
238,excited,6
239,adult,5
240,depressed,5
241,argentina,4
242,busy,3
243,confused,3
244,curious,3
245,discontent,3
246,productive,3
247,thankful,2
248,determined,2
249,loved,2
250,awake,1
251,disappointed,1
252,guilty,1
253,impressed,1
254,nervous,1
255,nordic,0
256,artistic,0
257,procession,0
258,frustrated,0
259,annoyed,0
260,accomplished,0
261,content,0
262,amor,0
263,stressed,0
264,cranky,0
265,flirty,0
266,easter,0
