,tag,count
0,happy,3237
1,dark,2708
2,energetic,2250
3,relaxing,2225
4,epic,2187
5,melodic,2060
6,love,1989
7,film,1915
8,corporate,1827
9,background,1634
10,space,1557
11,positive,1514
12,inspiring,1491
13,uplifting,1481
14,emotional,1460
15,meditative,1419
16,sad,1403
17,commercial,1373
18,dream,1372
19,advertising,1369
20,romantic,1321
21,documentary,1230
22,christmas,1125
23,motivational,1107
24,fun,1035
25,deep,1032
26,calm,1016
27,upbeat,996
28,emotion,982
29,adventure,944
30,action,919
31,party,892
32,soundscape,888
33,movie,842
34,soft,816
35,filmmusic,797
36,summer,792
37,ambiental,792
38,dramatic,776
39,dreamy,735
40,slow,733
41,drama,723
42,game,707
43,playful,696
44,inspirational,695
45,powerful,690
46,children,685
47,trailer,645
48,comedy,631
49,ballad,624
50,cool,604
51,nature,548
52,travel,539
53,sport,536
54,future,491
55,videogame,487
56,scifi,466
57,optimistic,463
58,funny,463
59,beautiful,456
60,filmscore,447
61,heavy,445
62,horror,434
63,retro,429
64,entertainment,422
65,groovy,421
66,melancholic,410
67,sentimental,395
68,energic,390
69,light,387
70,energy,383
71,abstract,374
72,relaxingmusic,373
73,fashion,373
74,motivation,352
75,melancholy,350
76,holiday,345
77,mellow,342
78,brazil,340
79,sexy,339
80,strange,336
81,business,335
82,hopeful,328
83,bright,321
84,peaceful,318
85,folkrock,318
86,youtube,316
87,humor,309
88,sweet,300
89,relaxed,295
90,mysterious,294
91,video,290
92,jingle,285
93,north,285
94,nostalgic,284
95,poetry,283
96,urban,281
97,joyful,275
98,fantasy,274
99,weird,268
100,night,265
101,driving,260
102,cheerful,258
103,oldschool,255
104,spiritual,255
105,tv,255
106,technology,253
107,dancefloor,252
108,fast,252
109,society,249
110,heroic,248
111,sports,247
112,kids,247
113,quiet,241
114,dynamic,236
115,presentation,231
116,thoughtful,231
117,chilled,227
118,war,223
119,reflective,222
120,mexico,221
121,winter,221
122,cinema,220
123,festive,218
124,catchy,216
125,halloween,216
126,life,213
127,scary,213
128,drive,211
129,sadness,210
130,hope,209
131,aggressive,207
132,france,200
133,motivate,199
134,suspense,199
135,magic,196
136,computers,195
137,happiness,194
138,dancing,189
139,communication,188
140,lovesong,186
141,success,181
142,animation,180
143,crazy,178
144,romance,178
145,melancolic,177
146,sea,177
147,soulful,174
148,extreme,171
149,zen,170
150,western,170
151,sex,169
152,mystery,166
153,tension,166
154,culture,164
155,warm,161
156,cosmic,161
157,strong,160
158,angry,156
159,bouncy,153
160,trailermusic,151
161,hypnotic,149
162,battle,149
163,thriller,149
164,japan,146
165,tech,143
166,robot,142
167,nice,142
168,trippy,136
169,darkness,132
170,wedding,131
171,news,129
172,beach,128
173,ocean,127
174,crime,127
175,religious,125
176,tropical,124
177,relaxation,124
178,surf,122
179,joy,121
180,lullaby,121
181,child,118
182,yoga,118
183,history,117
184,indian,116
185,ethereal,114
186,tribe,113
187,berlin,112
188,vintage,112
189,contemplative,108
190,xmas,108
191,science,106
192,traditional,106
193,arabic,102
194,clubbing,101
195,sciencefiction,97
196,loud,96
197,india,95
198,pensive,95
199,rain,94
200,water,94
201,spacey,92
202,social,92
203,laidback,89
204,political,89
205,dirty,88
206,freedom,87
207,planant,84
208,lovemusic,82
209,irish,81
210,epicmusic,80
211,creative,79
212,eclectic,78
213,russia,72
214,cold,70
215,health,66
216,africa,61
217,celebration,60
218,psycho,60
219,silly,59
220,gloomy,58
221,festif,54
222,anxious,50
223,determined,48
224,conscient,47
225,poesia,45
226,spy,40
227,violence,38
228,high,35
229,silentfilm,30
230,workout,26
231,chaos,24
232,colombia,24
233,education,24
234,sensible,21
235,loved,20
236,silence,19
237,sleepy,18
238,lazy,17
239,drunk,16
240,argentina,15
241,excited,14
242,depressed,14
243,curious,13
244,amor,12
245,nervous,7
246,adult,6
247,accomplished,5
248,confused,4
249,productive,4
250,disappointed,4
251,busy,4
252,thankful,3
253,stressed,3
254,nordic,3
255,easter,3
256,artistic,3
257,discontent,3
258,content,3
259,impressed,2
260,frustrated,2
261,awake,2
262,annoyed,1
263,procession,1
264,cranky,1
265,guilty,1
266,flirty,1
