,tag,count
0,dark,760
1,happy,755
2,love,611
3,relaxing,602
4,energetic,583
5,melodic,569
6,epic,482
7,sad,476
8,dream,445
9,film,444
10,space,434
11,romantic,396
12,meditative,380
13,emotional,339
14,inspiring,308
15,adventure,303
16,documentary,301
17,uplifting,299
18,emotion,299
19,positive,291
20,ballad,277
21,commercial,268
22,calm,266
23,advertising,265
24,soft,261
25,christmas,242
26,dramatic,240
27,soundscape,238
28,fun,237
29,corporate,237
30,motivational,236
31,drama,220
32,slow,219
33,action,218
34,upbeat,216
35,dreamy,213
36,comedy,206
37,nature,204
38,deep,204
39,travel,202
40,children,200
41,party,196
42,background,195
43,melancholic,192
44,movie,189
45,ambiental,182
46,inspirational,177
47,powerful,167
48,filmmusic,166
49,cool,155
50,summer,145
51,funny,145
52,scifi,140
53,game,140
54,strange,134
55,energy,134
56,retro,130
57,energic,130
58,horror,124
59,fast,123
60,beautiful,123
61,melancholy,123
62,trailer,122
63,heavy,122
64,videogame,121
65,night,120
66,sentimental,119
67,groovy,114
68,sport,113
69,hopeful,112
70,optimistic,111
71,entertainment,108
72,playful,107
73,mellow,106
74,sadness,102
75,dancefloor,101
76,light,101
77,mysterious,100
78,peaceful,95
79,filmscore,94
80,lovesong,94
81,weird,93
82,nostalgic,93
83,relaxed,90
84,bright,90
85,holiday,89
86,life,89
87,sexy,87
88,fantasy,87
89,fashion,86
90,sweet,86
91,dancing,85
92,spiritual,84
93,melancolic,80
94,hope,78
95,happiness,77
96,war,77
97,future,77
98,folkrock,75
99,tribe,75
100,sea,75
101,society,74
102,jingle,74
103,tension,72
104,western,72
105,scary,71
106,abstract,69
107,cheerful,69
108,humor,68
109,catchy,68
110,driving,68
111,chilled,68
112,reflective,68
113,crime,67
114,romance,65
115,cinema,64
116,beach,64
117,thoughtful,64
118,quiet,64
119,joyful,63
120,soulful,62
121,motivation,61
122,halloween,61
123,oldschool,61
124,hypnotic,60
125,trippy,60
126,kids,60
127,dynamic,60
128,poetry,60
129,aggressive,59
130,animation,58
131,suspense,57
132,angry,57
133,winter,57
134,culture,57
135,urban,55
136,battle,55
137,rain,55
138,magic,55
139,arabic,54
140,bouncy,54
141,indian,54
142,crazy,53
143,heroic,53
144,mystery,52
145,water,52
146,tech,51
147,communication,51
148,relaxingmusic,51
149,spacey,50
150,sex,50
151,traditional,49
152,festive,49
153,religious,49
154,brazil,48
155,wedding,47
156,history,47
157,cosmic,46
158,strong,46
159,drive,46
160,psycho,46
161,irish,46
162,ethereal,46
163,zen,44
164,lullaby,44
165,sports,44
166,warm,43
167,ocean,43
168,thriller,43
169,computers,42
170,tv,42
171,business,41
172,youtube,41
173,technology,40
174,vintage,40
175,robot,39
176,video,39
177,surf,39
178,cold,38
179,lovemusic,37
180,japan,37
181,darkness,36
182,africa,35
183,relaxation,35
184,political,34
185,xmas,33
186,joy,33
187,clubbing,33
188,france,33
189,freedom,32
190,news,32
191,yoga,31
192,loud,31
193,trailermusic,31
194,social,30
195,contemplative,29
196,extreme,29
197,science,28
198,india,28
199,nice,28
200,motivate,28
201,child,27
202,dirty,27
203,health,27
204,laidback,24
205,success,24
206,violence,24
207,sciencefiction,23
208,tropical,23
209,planant,23
210,mexico,22
211,anxious,20
212,epicmusic,19
213,berlin,19
214,presentation,19
215,north,17
216,silentfilm,16
217,spy,16
218,silly,16
219,creative,16
220,gloomy,15
221,eclectic,15
222,education,14
223,russia,14
224,high,14
225,festif,14
226,chaos,13
227,celebration,13
228,drunk,13
229,determined,12
230,sleepy,12
231,lazy,12
232,loved,11
233,silence,11
234,pensive,10
235,poesia,10
236,colombia,9
237,excited,8
238,depressed,8
239,workout,7
240,amor,7
241,argentina,6
242,sensible,6
243,adult,5
244,conscient,4
245,disappointed,4
246,curious,3
247,nervous,3
248,busy,3
249,confused,2
250,thankful,2
251,productive,2
252,discontent,2
253,awake,2
254,stressed,2
255,content,1
256,nordic,1
257,frustrated,1
258,annoyed,1
259,cranky,1
260,impressed,1
261,procession,1
262,flirty,1
263,guilty,1
264,easter,1
265,accomplished,0
266,artistic,0
