,tag,count
0,dark,416
1,love,358
2,happy,331
3,melodic,300
4,sad,273
5,energetic,269
6,dream,264
7,space,255
8,relaxing,255
9,epic,239
10,romantic,191
11,meditative,185
12,ballad,180
13,film,178
14,emotional,171
15,slow,144
16,fun,139
17,soft,138
18,calm,137
19,uplifting,133
20,dreamy,130
21,deep,128
22,soundscape,125
23,christmas,121
24,dramatic,114
25,melancholic,109
26,upbeat,106
27,cool,105
28,positive,105
29,adventure,103
30,ambiental,102
31,movie,102
32,party,101
33,funny,101
34,action,98
35,emotion,98
36,filmmusic,96
37,retro,95
38,heavy,95
39,nature,95
40,powerful,94
41,horror,93
42,fast,92
43,energic,90
44,inspiring,89
45,travel,89
46,children,89
47,summer,88
48,background,87
49,advertising,85
50,drama,85
51,commercial,85
52,game,82
53,energy,82
54,documentary,81
55,groovy,80
56,melancholy,80
57,motivational,80
58,night,77
59,comedy,77
60,strange,76
61,mellow,76
62,sadness,75
63,dancefloor,75
64,lovesong,73
65,light,72
66,corporate,70
67,sexy,70
68,melancolic,68
69,life,67
70,beautiful,67
71,relaxed,66
72,war,65
73,inspirational,65
74,hope,64
75,scifi,63
76,hopeful,61
77,mysterious,61
78,dancing,59
79,trailer,59
80,sentimental,58
81,weird,58
82,peaceful,58
83,nostalgic,57
84,sea,56
85,sweet,55
86,western,55
87,holiday,55
88,sport,55
89,fantasy,54
90,videogame,54
91,filmscore,53
92,aggressive,51
93,beach,51
94,folkrock,50
95,romance,50
96,bright,50
97,scary,49
98,angry,48
99,indian,48
100,arabic,47
101,soulful,47
102,spiritual,47
103,driving,47
104,hypnotic,47
105,poetry,47
106,humor,47
107,future,46
108,water,45
109,abstract,45
110,fashion,45
111,crazy,45
112,optimistic,45
113,trippy,45
114,jingle,45
115,urban,44
116,winter,44
117,oldschool,44
118,happiness,44
119,chilled,43
120,thoughtful,42
121,suspense,42
122,rain,42
123,cheerful,41
124,spacey,40
125,quiet,40
126,battle,40
127,ethereal,39
128,sex,39
129,mystery,39
130,cosmic,38
131,lullaby,38
132,tension,38
133,joyful,38
134,ocean,37
135,motivation,36
136,relaxingmusic,35
137,cinema,35
138,drive,35
139,playful,35
140,catchy,35
141,traditional,35
142,warm,33
143,dynamic,33
144,bouncy,33
145,brazil,33
146,reflective,33
147,sports,32
148,magic,32
149,thriller,32
150,cold,32
151,wedding,32
152,halloween,32
153,religious,31
154,freedom,31
155,lovemusic,31
156,tv,31
157,crime,31
158,psycho,31
159,africa,30
160,strong,30
161,tech,30
162,robot,30
163,darkness,29
164,irish,29
165,entertainment,29
166,heroic,29
167,relaxation,29
168,japan,28
169,vintage,28
170,surf,28
171,joy,28
172,computers,26
173,history,25
174,child,25
175,india,25
176,clubbing,25
177,zen,24
178,yoga,24
179,nice,24
180,political,24
181,social,23
182,youtube,23
183,loud,23
184,dirty,23
185,contemplative,23
186,business,22
187,video,22
188,kids,22
189,violence,22
190,society,22
191,tropical,21
192,science,21
193,communication,21
194,news,21
195,trailermusic,21
196,technology,21
197,xmas,19
198,france,19
199,epicmusic,18
200,health,18
201,extreme,18
202,culture,18
203,laidback,17
204,berlin,17
205,planant,17
206,motivate,16
207,anxious,16
208,tribe,15
209,silly,15
210,creative,14
211,sciencefiction,14
212,festive,14
213,russia,14
214,high,14
215,chaos,13
216,drunk,13
217,celebration,12
218,sleepy,12
219,eclectic,11
220,gloomy,11
221,lazy,11
222,spy,11
223,silence,11
224,presentation,10
225,festif,10
226,success,10
227,poesia,9
228,mexico,8
229,depressed,8
230,determined,8
231,education,8
232,pensive,7
233,excited,7
234,colombia,6
235,silentfilm,6
236,amor,6
237,workout,6
238,sensible,6
239,argentina,6
240,adult,4
241,disappointed,4
242,conscient,4
243,curious,3
244,nervous,3
245,animation,3
246,loved,3
247,north,3
248,discontent,2
249,thankful,2
250,busy,2
251,stressed,2
252,confused,2
253,awake,2
254,cranky,1
255,flirty,1
256,easter,1
257,content,1
258,frustrated,1
259,annoyed,1
260,productive,1
261,impressed,1
262,procession,1
263,nordic,1
264,guilty,1
265,accomplished,0
266,artistic,0
