,tag,count
0,dark,2201
1,happy,2114
2,relaxing,2032
3,melodic,1849
4,energetic,1574
5,film,1512
6,love,1482
7,epic,1364
8,meditative,1261
9,space,1253
10,dream,1181
11,documentary,1140
12,emotional,971
13,sad,967
14,positive,920
15,romantic,912
16,emotion,878
17,christmas,873
18,inspiring,836
19,uplifting,825
20,advertising,816
21,corporate,810
22,soundscape,808
23,adventure,790
24,commercial,780
25,deep,778
26,filmmusic,712
27,background,697
28,fun,679
29,ambiental,666
30,drama,638
31,movie,633
32,soft,631
33,calm,611
34,motivational,603
35,summer,582
36,action,581
37,party,576
38,slow,574
39,game,549
40,comedy,548
41,playful,540
42,ballad,539
43,upbeat,539
44,children,519
45,dreamy,475
46,nature,456
47,dramatic,452
48,inspirational,450
49,scifi,430
50,travel,394
51,entertainment,389
52,filmscore,376
53,videogame,367
54,cool,357
55,future,354
56,powerful,354
57,retro,352
58,energic,340
59,melancholic,338
60,horror,332
61,funny,327
62,sport,319
63,beautiful,319
64,brazil,312
65,abstract,308
66,trailer,305
67,heavy,294
68,strange,288
69,north,284
70,folkrock,282
71,holiday,273
72,energy,265
73,sentimental,264
74,groovy,261
75,optimistic,244
76,melancholy,238
77,fashion,230
78,weird,230
79,mellow,226
80,fantasy,224
81,sweet,224
82,humor,221
83,bright,213
84,chilled,211
85,peaceful,210
86,nostalgic,209
87,dancefloor,208
88,society,206
89,spiritual,205
90,hopeful,200
91,thoughtful,194
92,mysterious,192
93,light,192
94,quiet,183
95,mexico,181
96,night,178
97,jingle,175
98,youtube,175
99,france,173
100,halloween,172
101,fast,170
102,oldschool,170
103,reflective,169
104,communication,169
105,dynamic,168
106,sports,166
107,happiness,163
108,relaxed,163
109,poetry,163
110,culture,159
111,zen,158
112,animation,157
113,catchy,156
114,kids,154
115,driving,152
116,melancolic,152
117,sadness,150
118,sexy,148
119,urban,141
120,mystery,141
121,sex,141
122,lovesong,139
123,life,137
124,suspense,137
125,cinema,135
126,relaxingmusic,133
127,cosmic,132
128,scary,131
129,war,131
130,western,130
131,dancing,126
132,computers,125
133,hope,123
134,tension,122
135,tv,122
136,soulful,122
137,sea,122
138,winter,119
139,japan,117
140,business,117
141,romance,117
142,trippy,117
143,motivation,116
144,robot,116
145,aggressive,115
146,heroic,115
147,drive,112
148,video,111
149,berlin,110
150,history,109
151,cheerful,109
152,tropical,108
153,angry,108
154,festive,107
155,magic,105
156,religious,105
157,indian,103
158,surf,102
159,crime,102
160,hypnotic,102
161,lullaby,99
162,yoga,98
163,crazy,97
164,bouncy,96
165,tribe,96
166,joyful,94
167,thriller,94
168,ocean,92
169,tech,90
170,ethereal,90
171,technology,89
172,news,89
173,traditional,88
174,trailermusic,88
175,clubbing,87
176,beach,85
177,spacey,84
178,nice,83
179,relaxation,82
180,darkness,82
181,xmas,82
182,child,81
183,arabic,81
184,wedding,79
185,india,79
186,battle,78
187,extreme,75
188,sciencefiction,74
189,eclectic,73
190,social,73
191,vintage,73
192,irish,73
193,warm,72
194,political,70
195,planant,69
196,success,67
197,rain,67
198,water,66
199,loud,66
200,epicmusic,66
201,motivate,63
202,joy,62
203,strong,61
204,dirty,59
205,health,58
206,laidback,57
207,silly,55
208,psycho,54
209,lovemusic,54
210,russia,53
211,creative,48
212,science,46
213,contemplative,46
214,cold,44
215,freedom,43
216,poesia,43
217,presentation,42
218,africa,40
219,anxious,39
220,festif,39
221,violence,35
222,conscient,31
223,silentfilm,30
224,celebration,30
225,gloomy,28
226,spy,26
227,determined,25
228,chaos,22
229,high,21
230,colombia,20
231,sensible,19
232,education,17
233,silence,15
234,lazy,15
235,sleepy,14
236,drunk,13
237,loved,13
238,workout,13
239,pensive,12
240,argentina,12
241,excited,10
242,depressed,9
243,amor,8
244,adult,6
245,nervous,5
246,curious,4
247,disappointed,4
248,productive,3
249,discontent,3
250,busy,3
251,stressed,3
252,confused,3
253,thankful,2
254,awake,2
255,easter,1
256,flirty,1
257,annoyed,1
258,content,1
259,nordic,1
260,impressed,1
261,procession,1
262,frustrated,1
263,guilty,1
264,cranky,1
265,accomplished,0
266,artistic,0
