,tag,count
0,happy,1715
1,melodic,1215
2,dark,1205
3,relaxing,1153
4,energetic,1122
5,film,1024
6,epic,1006
7,love,852
8,meditative,764
9,uplifting,708
10,christmas,707
11,advertising,703
12,emotional,700
13,sad,676
14,corporate,674
15,dream,660
16,deep,635
17,positive,631
18,documentary,617
19,emotion,590
20,inspiring,570
21,romantic,566
22,background,540
23,motivational,538
24,space,528
25,playful,525
26,fun,521
27,summer,507
28,soundscape,481
29,upbeat,476
30,soft,470
31,ambiental,464
32,calm,463
33,commercial,460
34,adventure,456
35,slow,440
36,filmmusic,437
37,action,434
38,drama,429
39,movie,419
40,inspirational,390
41,children,368
42,dreamy,361
43,dramatic,336
44,ballad,334
45,comedy,318
46,game,291
47,north,282
48,entertainment,280
49,filmscore,273
50,party,268
51,nature,265
52,beautiful,260
53,trailer,259
54,cool,258
55,powerful,241
56,sport,238
57,optimistic,228
58,funny,226
59,retro,221
60,folkrock,210
61,holiday,199
62,energic,199
63,melancholic,198
64,scifi,197
65,groovy,197
66,fashion,193
67,bright,187
68,peaceful,181
69,sweet,181
70,nostalgic,179
71,mexico,177
72,travel,173
73,thoughtful,169
74,quiet,166
75,melancholy,166
76,energy,162
77,fantasy,161
78,horror,158
79,heavy,158
80,hopeful,158
81,animation,157
82,mellow,157
83,videogame,156
84,sentimental,155
85,kids,147
86,communication,147
87,reflective,145
88,driving,142
89,jingle,140
90,catchy,138
91,light,138
92,mysterious,135
93,france,135
94,dynamic,129
95,spiritual,126
96,fast,124
97,sexy,122
98,dancefloor,117
99,suspense,117
100,happiness,116
101,business,114
102,strange,112
103,relaxed,109
104,urban,108
105,heroic,105
106,sports,105
107,festive,105
108,romance,103
109,brazil,102
110,halloween,102
111,night,101
112,western,99
113,motivation,99
114,cheerful,97
115,society,96
116,zen,96
117,drive,95
118,tension,93
119,oldschool,91
120,war,91
121,soulful,91
122,sea,90
123,indian,90
124,scary,89
125,lullaby,88
126,sadness,86
127,life,83
128,joyful,83
129,melancolic,82
130,trippy,82
131,lovesong,82
132,tropical,82
133,news,81
134,humor,81
135,video,77
136,bouncy,77
137,trailermusic,76
138,youtube,76
139,relaxation,75
140,future,73
141,poetry,73
142,dancing,73
143,hypnotic,72
144,abstract,72
145,magic,69
146,angry,68
147,traditional,67
148,arabic,67
149,warm,66
150,beach,66
151,success,66
152,ocean,66
153,thriller,66
154,tv,65
155,chilled,65
156,weird,64
157,relaxingmusic,62
158,xmas,62
159,winter,62
160,hope,62
161,berlin,61
162,cosmic,60
163,epicmusic,58
164,surf,58
165,aggressive,57
166,crazy,57
167,wedding,57
168,battle,57
169,mystery,56
170,history,56
171,yoga,56
172,motivate,55
173,extreme,55
174,laidback,54
175,strong,52
176,japan,48
177,culture,48
178,religious,47
179,spacey,46
180,eclectic,45
181,irish,45
182,water,45
183,cinema,44
184,social,44
185,clubbing,42
186,technology,42
187,rain,40
188,tech,40
189,contemplative,40
190,computers,39
191,child,39
192,crime,38
193,sex,38
194,presentation,38
195,political,37
196,ethereal,35
197,vintage,35
198,planant,34
199,loud,32
200,nice,32
201,robot,32
202,darkness,31
203,joy,31
204,festif,31
205,africa,30
206,dirty,30
207,creative,30
208,celebration,28
209,cold,26
210,health,26
211,science,26
212,anxious,22
213,spy,21
214,lovemusic,21
215,conscient,21
216,india,21
217,sciencefiction,20
218,sensible,19
219,psycho,17
220,freedom,16
221,violence,15
222,high,14
223,silly,13
224,tribe,13
225,sleepy,12
226,chaos,12
227,gloomy,11
228,lazy,11
229,education,11
230,poesia,10
231,russia,10
232,workout,9
233,pensive,9
234,colombia,9
235,silentfilm,9
236,silence,8
237,drunk,7
238,excited,6
239,adult,5
240,depressed,5
241,argentina,4
242,determined,3
243,curious,3
244,loved,3
245,productive,3
246,discontent,3
247,busy,3
248,confused,3
249,thankful,2
250,impressed,1
251,nervous,1
252,guilty,1
253,awake,1
254,disappointed,1
255,easter,0
256,cranky,0
257,flirty,0
258,accomplished,0
259,annoyed,0
260,content,0
261,nordic,0
262,procession,0
263,frustrated,0
264,amor,0
265,artistic,0
266,stressed,0
